,firm1,firm2,sim
270,AMCC,MOSY,0.261325503356
271,AMCC,MRVC,0.242395132885
272,AMCC,MSCC,0.230707716913
273,AMCC,MU,0.215460526316
274,AMCC,MXIM,0.233665080052
275,AMCC,NVDA,0.207451701932
276,AMCC,OCLR,0.178625954198
277,AMCC,ON,0.231578947368
278,AMCC,OSIS,0.188452805709
279,AMCC,OVTI,0.234577922078
280,AMCC,PLAB,0.153138528139
281,AMCC,PMCS,0.268582375479
282,AMCC,POWI,0.211853162318
283,AMCC,PXLW,0.183053919348
284,AMCC,QUIK,0.244201909959
285,AMCC,RMBS,0.251147842057
286,AMCC,SIGM,0.218357082984
287,AMCC,SLAB,0.246776504298
288,AMCC,SMTC,0.263042525208
289,AMCC,SUNE,0.213665086888
290,AMCC,SWKS,0.218721872187
291,AMCC,TSRA,0.1543274244
292,AMCC,TXN,0.150972364381
293,AMCC,VIAV,0.252406417112
294,AMCC,XLNX,0.252868678283
295,AMD,ADI,0.225592939879
296,AMD,AFOP,0.183995327103
297,AMD,ALTR,0.279505946935
298,AMD,AMAT,0.172777498744
299,AMD,AMCC,0.260059296908
300,AMD,AMD,1.0
301,AMD,AMKR,0.212407991588
302,AMD,ANAD,0.22810137839
303,AMD,ATML,0.254002134472
304,AMD,AXTI,0.215509854327
305,AMD,BRCM,0.220934723832
306,AMD,CCMP,0.200332042059
307,AMD,CEVA,0.214859437751
308,AMD,CREE,0.212814645309
309,AMD,CRUS,0.245297215952
310,AMD,CY,0.263157894737
311,AMD,DIOD,0.241958713394
312,AMD,DSPG,0.225142045455
313,AMD,EMAN,0.219330855019
314,AMD,EMKR,0.200894187779
315,AMD,EXAR,0.217862481315
316,AMD,FCS,0.241505297771
317,AMD,FNSR,0.209427609428
318,AMD,FORM,0.173887587822
319,AMD,IDTI,0.2484375
320,AMD,INTC,0.268037643778
321,AMD,ISIL,0.232673267327
322,AMD,ISSI,0.261497326203
323,AMD,IXYS,0.254689042448
324,AMD,KOPN,0.210110584518
325,AMD,LLTC,0.217599234816
326,AMD,LPTH,0.195707879564
327,AMD,LSCC,0.229421136484
328,AMD,MCHP,0.22134551495
329,AMD,MOSY,0.244916820702
330,AMD,MRVC,0.207515233582
331,AMD,MSCC,0.218061674009
332,AMD,MU,0.249054820416
333,AMD,MXIM,0.233835683034
334,AMD,NVDA,0.217482885729
335,AMD,OCLR,0.170660432496
336,AMD,ON,0.253768844221
337,AMD,OSIS,0.183262711864
338,AMD,OVTI,0.241018644839
339,AMD,PLAB,0.171391752577
340,AMD,PMCS,0.218699186992
341,AMD,POWI,0.214107053527
342,AMD,PXLW,0.199373695198
343,AMD,QUIK,0.222502522704
344,AMD,RMBS,0.251037344398
345,AMD,SIGM,0.222431668238
346,AMD,SLAB,0.215189873418
347,AMD,SMTC,0.262536873156
348,AMD,SUNE,0.2460496614
349,AMD,SWKS,0.216971544715
350,AMD,TSRA,0.174181593576
351,AMD,TXN,0.180487804878
352,AMD,VIAV,0.19556892779
353,AMD,XLNX,0.268046198268
354,AMKR,ADI,0.220405493787
355,AMKR,AFOP,0.192719486081
356,AMKR,ALTR,0.210813492063
357,AMKR,AMAT,0.160703812317
358,AMKR,AMCC,0.201376146789
359,AMKR,AMD,0.212407991588
360,AMKR,AMKR,1.0
361,AMKR,ANAD,0.206619859579
362,AMKR,ATML,0.215853658537
363,AMKR,AXTI,0.189928057554
364,AMKR,BRCM,0.181550126369
365,AMKR,CCMP,0.214333556597
366,AMKR,CEVA,0.184165232358
367,AMKR,CREE,0.196610169492
368,AMKR,CRUS,0.197891321979
369,AMKR,CY,0.194004282655
370,AMKR,DIOD,0.202047413793
371,AMKR,DSPG,0.192752505783
372,AMKR,EMAN,0.164125560538
373,AMKR,EMKR,0.162709718265
374,AMKR,EXAR,0.200082678793
375,AMKR,FCS,0.204752475248
376,AMKR,FNSR,0.174165457184
377,AMKR,FORM,0.169503546099
378,AMKR,IDTI,0.199882422105
379,AMKR,INTC,0.172142857143
380,AMKR,ISIL,0.200900393922
381,AMKR,ISSI,0.231857318573
382,AMKR,IXYS,0.215795328142
383,AMKR,KOPN,0.194341943419
384,AMKR,LLTC,0.180592991914
385,AMKR,LPTH,0.165286404417
386,AMKR,LSCC,0.186553603876
387,AMKR,MCHP,0.206252916472
388,AMKR,MOSY,0.20826873385
389,AMKR,MRVC,0.17532942899
390,AMKR,MSCC,0.2045
391,AMKR,MU,0.201155462185
392,AMKR,MXIM,0.208194905869
393,AMKR,NVDA,0.168458781362
394,AMKR,OCLR,0.167257264352
395,AMKR,ON,0.211898016997
396,AMKR,OSIS,0.144877675841
397,AMKR,OVTI,0.203346855984
398,AMKR,PLAB,0.17998385795
399,AMKR,PMCS,0.192238267148
400,AMKR,POWI,0.186139747995
401,AMKR,PXLW,0.187041564792
402,AMKR,QUIK,0.189298043728
403,AMKR,RMBS,0.208700764256
404,AMKR,SIGM,0.173571054012
405,AMKR,SLAB,0.213114754098
406,AMKR,SMTC,0.226164079823
407,AMKR,SUNE,0.184820108428
408,AMKR,SWKS,0.212247324614
409,AMKR,TSRA,0.188461538462
410,AMKR,TXN,0.146589259797
411,AMKR,VIAV,0.159734257655
412,AMKR,XLNX,0.203273495248
413,ANAD,ADI,0.206233766234
414,ANAD,AFOP,0.198985343856
415,ANAD,ALTR,0.217226890756
416,ANAD,AMAT,0.172363986519
417,ANAD,AMCC,0.252035830619
418,ANAD,AMD,0.22810137839
419,ANAD,AMKR,0.206619859579
420,ANAD,ANAD,1.0
421,ANAD,ATML,0.229919678715
422,ANAD,AXTI,0.225792988314
423,ANAD,BRCM,0.237571157495
424,ANAD,CCMP,0.183003128259
425,ANAD,CEVA,0.188679245283
426,ANAD,CREE,0.234939759036
427,ANAD,CRUS,0.219163389346
428,ANAD,CY,0.248652809854
429,ANAD,DIOD,0.237108655617
430,ANAD,DSPG,0.227948806641
431,ANAD,EMAN,0.21400159109
432,ANAD,EMKR,0.256925418569
433,ANAD,EXAR,0.229052323454
434,ANAD,FCS,0.216695652174
435,ANAD,FNSR,0.243935309973
436,ANAD,FORM,0.151531728665
437,ANAD,IDTI,0.214494163424
438,ANAD,INTC,0.217589576547
439,ANAD,ISIL,0.216533583842
440,ANAD,ISSI,0.211330049261
441,ANAD,IXYS,0.255703422053
442,ANAD,KOPN,0.245067497404
443,ANAD,LLTC,0.196202531646
444,ANAD,LPTH,0.214512040558
445,ANAD,LSCC,0.178048780488
446,ANAD,MCHP,0.22472815143
447,ANAD,MOSY,0.224901359053
448,ANAD,MRVC,0.227653163709
449,ANAD,MSCC,0.236512731981
450,ANAD,MU,0.198863636364
451,ANAD,MXIM,0.232710280374
452,ANAD,NVDA,0.161849710983
453,ANAD,OCLR,0.191501416431
454,ANAD,ON,0.223479490806
455,ANAD,OSIS,0.181040383299
456,ANAD,OVTI,0.214163090129
457,ANAD,PLAB,0.155421686747
458,ANAD,PMCS,0.229853116316
459,ANAD,POWI,0.192543652666
460,ANAD,PXLW,0.17953762912
461,ANAD,QUIK,0.19403691434
462,ANAD,RMBS,0.227761485826
463,ANAD,SIGM,0.198398576512
464,ANAD,SLAB,0.262263422171
465,ANAD,SMTC,0.245564892624
466,ANAD,SUNE,0.208791208791
467,ANAD,SWKS,0.238828202582
468,ANAD,TSRA,0.151986183074
469,ANAD,TXN,0.147688838782
470,ANAD,VIAV,0.221918556983
471,ANAD,XLNX,0.211248892826
472,ATML,ADI,0.269946808511
473,ATML,AFOP,0.179504814305
474,ATML,ALTR,0.24312156078
475,ATML,AMAT,0.17004048583
476,ATML,AMCC,0.231729879741
477,ATML,AMD,0.254002134472
478,ATML,AMKR,0.215853658537
479,ATML,ANAD,0.229919678715
480,ATML,ATML,1.0
481,ATML,AXTI,0.183223992502
482,ATML,BRCM,0.220128479657
483,ATML,CCMP,0.188099808061
484,ATML,CEVA,0.211494252874
485,ATML,CREE,0.191524719568
486,ATML,CRUS,0.222176926213
487,ATML,CY,0.237221494102
488,ATML,DIOD,0.223776223776
489,ATML,DSPG,0.205069124424
490,ATML,EMAN,0.187584345479
491,ATML,EMKR,0.178129952456
492,ATML,EXAR,0.195537525355
493,ATML,FCS,0.197051978278
494,ATML,FNSR,0.191860465116
495,ATML,FORM,0.160383824537
496,ATML,IDTI,0.242550655542
497,ATML,INTC,0.202893309222
498,ATML,ISIL,0.234693877551
499,ATML,ISSI,0.24135839903
500,ATML,IXYS,0.25
501,ATML,KOPN,0.209500609013
502,ATML,LLTC,0.220098306936
503,ATML,LPTH,0.158875338753
504,ATML,LSCC,0.202280912365
505,ATML,MCHP,0.217693376563
