inv_num,pnum_str
05838578-1,"6975047, 6980918, 6789037"
05838598-1,"6707403, 6828927"
05838698-1,6938197
05838698-2,6938197
05838715-2,6822879
05838830-1,"6707940, 6810397, 6678635"
05838934-4,6438720
05838958-2,"6925556, 6907487, 6880031, 6807592, 6804735, 6782457, 6732242, 6742085, 6735675, 6654837"
05839640-1,"6564115, 6363293"
05840373-2,"6476678, 6359427, 6329878, 6847257"
05840448-2,6898781
05840598-1,"6703105, 6706374, 6979888, 6939501, 6926191, 6902995, 6900078, 6882049, 6905946, 6854633, 6787396, 6746899, 6740962, 6637638, 6635333, 6630730, 6622380, 6602430, 6653721, 6585927, 6562661, 6548897, 6534342, 6531335, 6506681, 6506671, 6489007, 6391680, 6379991, 6372624, 6337511, 6337122, 6316823, 6248611, 6107122, 6150717, 6584897, 6427587, 6269742, 6089151"
05840897-4,6966810
05841295-1,"6978427, 6943597, 6838919, 6838918, 6806732, 6914449, 6788124, 6784692, 6756822, 6754686, 6603332, 6556042, 6480023, 6466052, 6873183, 6847246"
05841296-2,"6034548, 6239616, 6133751"
05841299-1,"6724649, 6710627, 6653866, 6975005, 6970018, 6909652, 6879531, 6876571, 6870418, 6831871, 6806739, 6801465, 6801463, 6794630, 6763484, 6744301, 6784688, 6724648, 6721222, 6710642, 6693332, 6683467, 6734498, 6642765, 6917237, 6849909, 6828638, 6825687, 6784722, 6643199, 6707708, 6903984, 6952376, 6906973"
05841310-2,"6765520, 6509852, 6538477"
05841379-1,"6289443, 6061787, 6058474, 6351758, 6182203, 6112298, 6081885, 6065106, 6055628, 6016555, 6889320, 6609163, 6374346, 6167466, 6055649, 6311234, 6145027"
05841382-2,"6909390, 6819274, 6639534"
05841418-3,6118413
05841591-1,6894846
05841710-1,"6817002, 6810492, 6621748, 6578157, 6484299, 6418034, 6381708, 6381707, 6324071, 6314527, 6332183"
05841866-3,"6304823, 6522981"
05841994-2,"6687777, 6493782, 6341320"
05842008-2,"6757815, 6643770"
05842118-1,"6118789, 6104333, 6466771, 6351630, 6307848, 6307847, 6289209, 6265963, 6282186, 6275476, 6226300, 6072801, 6061344, 6023610, 6273339, 6068192"
05842626-2,6928216
05843226-1,"6245684, 6069086"
05843239-1,"6436303, 6170430, 6068729"
05843830-1,"6696718, 6689657, 6919257, 6960513, 6881642, 6806187, 6753618, 6348709, 6297124, 6096571, 6060785, 6964901, 6858894, 6773984, 6171925, 6812112, 6764943, 6482736, 6309973, 6083803, 6682969, 6146961, 6580114, 6049101, 6940112, 6869877, 6492241"
05843846-1,"6968532, 6958547"
05844195-2,"6645303, 6635115, 6152070, 6077157, 6831284, 6361707, 6354241, 6230652, 6163007, 6045618, 6039834, 6082950"
05844195-4,"6933801, 6079426, 6329297, 6239553, 6551446, 6755150, 6494986, 6468388, 6453842, 6447651, 6410449, 6361707, 6348126, 6230652, 6163007, 6039834, 6911403, 6354241, 6045618, 6868856, 6863019, 6843881"
05844195-5,"6079426, 6361707, 6230652, 6045618, 6039834"
05844300-4,6787440
05844370-4,"6831404, 6554672, 6356250, 6266034"
05844424-1,"6754760, 6944809, 6107827, 6910002"
05844424-2,"6429715, 6051992, 6124731, 6362648, 6107827, 6201410"
05844441-1,6175267
05844840-5,"6215702, 6369433, 6351017, 6750157, 6618290, 6529410, 6519182, 6514830, 6501681, 6331952, 6188113, 6143612, 6456536, 6442074, 6307784, 6269023, 6331953, 6327183, 6228782, 6188606, 6166951, 6159795, 6381179, 6356482, 6567303, 6549466, 6493261, 6590811, 6456533, 6246610, 6465303, 6266281, 6555436, 6541816, 6468865, 6465306, 6143608"
05844901-2,"6275861, 6724779, 6430186, 6449274"
05844901-3,6430186
05844915-1,6967883
05845126-1,"6959435, 6760816, 6782469, 6779108, 6662273"
05845139-2,6463478
05845297-2,"6957343, 6912634, 6738878"
05846332-10,"6699530, 6444036, 6500742, 6251758, 6155198, 6270859, 6129044"
05846332-5,"6559074, 6559039, 6833161, 6802906, 6726955, 6713127, 6077562, 6051286, 6500357, 6210485, 6189482, 6582522, 6884464, 6270859, 6129044, 6949203"
05846332-7,"6298534, 6179924, 6066209, 6120609, 6527865, 6077562, 6063199, 6056823, 6035101, 6099651, 6123773, 6616767, 6165271, 6082714, 6051286, 6189482, 6258170, 6270859, 6129044, 6464795"
05846695-2,6265309
05847429-2,6278162
05847443-4,6140252
05847459-1,6232663
05847463-1,"6703263, 6683365, 6670681, 6953749, 6927473, 6893957, 6875697, 6867497, 6844601, 6831001, 6818997, 6858525, 6790781, 6770921, 6809014, 6744102, 6740575, 6724089, 6639319, 6630718, 6605533, 6599805, 6127270, 6120915, 6110788, 6583473, 6583060, 6576978, 6570232, 6562689, 6555478, 6548401, 6548383, 6544881, 6524901, 6522001, 6521953, 6541395, 6511868, 6498088, 6534866, 6468905, 6482689, 6417546, 6410984, 6403458, 6436805, 6440817, 6440799, 6355966, 6335254, 6323104, 6294464, 6277674, 6093661, 6677650, 6673715, 6962841, 6872660, 6797596, 6812529, 6613617, 6599789, 6583518, 6594172, 6535413, 6376358"
05847464-3,6833161
05847554-2,"6940261, 6897717, 6774611, 6476589"
05847621-1,"6879023, 6819193, 6566971, 6526113, 6748041"
05847865-2,6909554
05847885-4,6775076
05847959-3,"6455863, 6420717, 6720565, 6373071"
05847984-1,"6380724, 6535972, 6493819, 6460130, 6243805, 6173300, 6122651, 6094669, 6151616, 6065034, 6041341, 6035310, 6539470"
05847988-3,6966017
05847993-1,"6711063, 6363016, 6285584, 6265266, 6212103"
05848017-1,"6781219, 6504236, 6310388, 6184574, 6169696, 6054754, 6707673, 6951789, 6841438, 6784043, 6642084, 6522595, 6449161, 6356474, 6319756, 6201695, 6172929, 6031727, 6137119, 6235622"
05848019-1,6934816
05848019-2,"6373757, 6266748, 6930400, 6614798"
05848019-3,"6907479, 6216205, 6173425"
05848251-1,"6968391, 6728778"
05849084-2,"6722027, 6412768, 6494953, 6199562, 6162507"
05849367-2,"6660650, 6589865, 6455419, 6333265, 6291347, 6355558, 6215186, 6069072"
05850227-1,6047372
05850532-2,"6202142, 6148393, 6061775, 6134650"
05850533-2,"6799265, 6748505"
05850554-1,6748366
05850557-2,"6801976, 6681292"
05850571-3,"6681301, 6499074, 6493803, 6490638, 6889334, 6415348, 6401156"
05851307-3,"6309936, 6194283, 6160316, 6727569, 6214123, 6148832, 6140191, 6043533, 6051487"
05851602-3,"6656840, 6562544, 6324439, 6083852, 6635583, 6951826, 6797646"
05851848-1,"6174788, 6156625, 6016358, 6216055"
05851857-1,6936908
05851926-1,"6696365, 6642151, 6642127, 6593244, 6541164, 6979652, 6943039, 6942813, 6933239, 6897155, 6911346, 6905616, 6491835, 6471833, 6518206, 6518192, 6415198, 6391788, 6372655, 6368978, 6270634, 6318384, 6132631, 6303513, 6037265"
05851926-3,"6921723, 6235214, 6924088, 6402974, 6653237"
05851926-4,"6824813, 6699399, 6136211"
05851926-7,6537011
05852383-1,"6590458, 6411125, 6154089"
05852398-1,"6559411, 6919530"
05852472-3,6731325
05852497-2,"6872609, 6818141, 6902851, 6962849, 6403500, 6867063, 6667212, 6664030, 6620717, 6589717, 6528398, 6501555, 6500587, 6475867, 6653190, 6645679, 6642148, 6720133"
05852540-1,6933760
05852664-2,"6918022, 6798411"
05852723-4,"6778547, 6507564, 6460088, 6112294, 6904043, 6891843, 6816488, 6813266, 6775290, 6771654, 6760338, 6741589, 6732184, 6680945, 6636523, 6584106, 6480490, 6061361, 6895015, 6785849, 6744776, 6731596, 6658015, 6625146, 6546010, 6515993, 6463032, 6335938, 6330248, 6108306, 6094439, 6081523, 6535489, 6222825, 6501734, 6442137"
05852826-1,"6804355, 6947558, 6725373, 6731758, 6956949, 6931129, 6920221"
05852870-3,6329606
05853554-2,6778736
05853960-1,"6473702, 6472891, 6466045"
05854128-1,"6599840, 6596648, 6596642, 6570258, 6461967, 6309975, 6261964, 6259162"
05854511-2,6469258
05854564-1,"6459335, 6456044, 6542106, 6535061, 6184659, 6515464, 6078208, 6020792"
05854804-2,"6911672, 6881610, 6785430, 6650802, 6947616, 6853671, 6788837, 6891653, 6690036, 6856732"
05855681-8,"6635115, 6152070"
05855744-3,6881305
05855811-2,"6972227, 6936540, 6936534, 6930017, 6835668, 6835121, 6787473, 6635562, 6627550, 6613674, 6589882, 6399492, 6375548, 6387812, 6358325, 6265781, 6077785, 6908569, 6740252, 6124207, 6498110, 6273100, 6269511, 6468951, 6044851"
05855837-2,"6399446, 6376308, 6362052, 6889763, 6864024, 6819427, 6790790, 6762133, 6663723, 6643604, 6634805, 6612319, 6562723, 6552790, 6551923, 6537881, 6537866, 6534243, 6533865, 6528390, 6524944, 6573480, 6458677, 6458656, 6486029, 6441418, 6436766, 6492075, 6420104, 6297143, 6287917, 6274289, 6269322, 6265294, 6265273, 6261904, 6326268, 6248635, 6207582, 6207502, 6196734, 6168993, 6242305, 6127259, 6153504, 6413857, 6376013, 6372614, 6371134, 6352817, 6406960, 6416933, 6954678, 6934032, 6931618, 6924157, 6915177, 6912438, 6905950, 6879406, 6879051, 6878560, 6844206, 6818360, 6793765, 6813574, 6784446, 6778268, 6771374, 6771356, 6758612, 6809793, 6746822, 6741445, 6808591, 6724476, 6684172, 6670271, 6654660, 6653221, 6650422, 6649426, 6645702, 6641963, 6632283, 6630361, 6629786, 6617087, 6605855, 6602727, 6594024, 6593210, 6704101, 6702648, 6570157, 6562185, 6561706, 6559457, 6556303, 6545273, 6541184, 6535288, 6592932, 6583871, 6507474, 6501534, 6579733, 6579651, 6573498, 6573497, 6572252, 6465156, 6459945, 6459482, 6458607, 6455416, 6451621, 6451512, 6486078, 6486072, 6448097, 6445072, 6444381, 6444373, 6441349, 6440289, 6439963, 6426301, 6423479, 6482558, 6479820, 6322009, 6291135, 6335152, 6277544, 6270579, 6262484, 6261960, 6251570, 6329124, 6326231, 6339955, 6248175, 6221777, 6210846, 6197455, 6191046, 6191036, 6190062, 6187666, 6238830, 6136514, 6117618, 6063531, 6057914, 6034771, 6774989, 6422918"
05855957-1,"6624091, 6905939, 6677247, 6905940, 6793733"
05856236-1,6204175
05856252-3,"6199927, 6153530, 6024393, 6372633"
05856684-3,"6960509, 6791125, 6750067"
05856753-2,"6563390, 6674665, 6593785, 6532169"
05856755-1,"6794895, 6774819, 6741165"
05856755-2,"6717455, 6748549"
05856906-3,6547977
05856906-4,"6178920, 6158384"
05856911-1,6885106
05856923-1,6427092
05856946-1,"6103602, 6252276, 6046932, 6236596, 6275415, 6410956, 6025240"
05856986-1,"6674591, 6504662, 6404577, 6483297, 6163419"
05857082-3,6968490
05857117-2,"6973594, 6901461, 6820141, 6810443, 6697904, 6658520, 6978351, 6976115, 6968410, 6907510, 6792494, 6868469"
05858457-4,6583071
05858459-1,"6475880, 6427850, 6344091, 6254682, 6214127, 6039187"
05858813-3,"6620037, 6593239, 6569350, 6447371, 6432828, 6362106, 6309560, 6217416, 6126853"
05858813-5,"6793559, 6767476, 6592776, 6582623, 6347978, 6383065"
05858839-2,"6781887, 6449187, 6383870, 6274900, 6072212"
05858844-3,"6615400, 6534224, 6291860, 6184114, 6107185, 6096644, 6383827, 6355511, 6818358, 6797438, 6749971, 6749970, 6675369, 6641747, 6633083, 6528372, 6514802, 6479350, 6265253, 6218224, 6217418, 6103563, 6768204, 6524947, 6312874, 6291887, 6279147, 6221706, 6211071, 6121149, 6117782, 6117781, 6156643, 6153514, 6066557, 6358856, 6350687, 6974652, 6635409, 6548423, 6516450, 6472317, 6458606, 6448164, 6309955, 6255735, 6753266, 6803178, 6689541, 6660645, 6566214, 6563221"
05858893-1,6965128
05859469-1,6011297
05859505-2,"6838930, 6927613, 6812762"
05859552-1,"6859402, 6674671, 6630856, 6522189"
05859563-3,"6892103, 6721428, 6456127"
05859669-1,6397042
05859964-3,"6215896, 6345720"
05860012-1,6944858
05860025-7,"6370607, 6324595, 6167480, 6092143, 6389557, 6463542, 6070194, 6317847"
05860060-3,6310652
05860084-1,"6047366, 6353460, 6732252, 6453394"
05860118-3,"6578185, 6243303, 6101134"
05860124-4,"6839823, 6779045"
05860124-5,6839823
05860128-2,"6829184, 6976121, 6976120, 6957307, 6952367, 6925013, 6934823, 6862653, 6801459, 6772352, 6928494, 6941484, 6915399"
05860160-2,"6526470, 6473357, 6292013, 6191636, 6442657, 6483386, 6366979, 6055177, 6023435"
05861061-2,"6680078, 6806209, 6559072, 6140253, 6168660"
05861066-3,"6913518, 6390904, 6709218"
05861066-5,6908370
05861076-2,"6967124, 6930256, 6831371, 6784376, 6534391, 6930257, 6905914, 6747352"
05861086-3,"6469283, 6395157"
05861086-5,"6939808, 6423384, 6395157, 6211065"
05861346-3,"6468490, 6367412"
05861583-2,"6857035, 6976239"
05861647-1,"6825733, 6832231, 6498538, 6650188, 6614291, 6525617, 6492877"
05861666-1,6208025
05861766-1,"6930621, 6911922, 6859154, 6791388, 6509773"
05861794-1,"6980407, 6710695, 6642832, 6720856, 6480079, 6353526"
05861831-4,"6587065, 6246353, 6163290, 6191619, 6172636, 6812771"
05861831-5,6294902
05861861-3,"6552567, 6339413, 6098160, 6057705, 6708268"
05861902-1,6873756
05862055-3,"6947804, 6496596, 6040912"
05862065-1,"6738792, 6108774, 6253316, 6049863, 6076146"
05862082-3,"6363016, 6593779, 6448823, 6285584, 6212103"
05862082-4,"6816057, 6288526, 6114843, 6172519, 6285584, 6212103"
05862086-5,"6836446, 6967883, 6169698, 6097648, 6049499, 6038158, 6031779"
05862148-1,"6311235, 6332173, 6145103, 6105081, 6385670, 6366610, 6850561, 6260162"
05862148-2,"6883045, 6968417, 6725297, 6327259, 6976204"
05862148-3,6327640
05862157-1,"6917312, 6018304"
05862320-3,"6959395, 6971033"
05862335-2,6751647
05863340-1,"6508062, 6258227, 6081414, 6053756, 6051122"
05863598-2,"6488776, 6410090, 6555183, 6802906, 6726955, 6326690, 6214714, 6559074, 6559039, 6524952, 6833161, 6582522, 6548402, 6365495"
05863598-3,"6019839, 6916744, 6022587, 6284650, 6888104"
05863813-1,"6687969, 6980085, 6955725, 6166637, 6074896, 6051875, 6545604, 6494305, 6935372, 6926775, 6845734, 6838114, 6800134, 6373391, 6161281, 6677250, 6849133, 6858264, 6814813, 6936547, 6821347, 6797337, 6787373, 6620253, 6613587, 6800172"
05864227-2,"6734705, 6573694"
05864251-2,"6664810, 6292403, 6286118, 6262936, 6262937, 6445645, 6115836, 6069839, 6388927, 6385128, 6380762, 6359316"
05864478-2,6782611
05864478-3,"6931559, 6977435"
05864509-1,"6630860, 6041388, 6720806, 6566967, 6545524, 6122203, 6016277"
05864545-1,"6914933, 6895085"
05864545-2,6961372
05864616-1,6882724
05864793-1,6097776
05865520-3,6663243
05866442-1,"6685454, 6706560, 6706565, 6706555, 6949838, 6908795, 6812068, 6124643, 6114190, 6528890, 6498052, 6461894, 6455349, 6443720, 6423581, 6399425, 6355985, 6355506, 6383292, 6325606, 6232145, 6179598, 6379991, 6521980, 6395579, 6210992"
05866473-1,"6373103, 6410938, 6369421, 6897122, 6849527, 6790750, 6787423, 6809016, 6737337, 6734527, 6696348, 6709960, 6600170, 6525381, 6583488, 6514809, 6441434, 6440806, 6417556, 6479866, 6323099, 6255219, 6255169, 6218245, 6169302, 6168999, 6153534, 6015752, 6087696, 6369429, 6852600, 6797602, 6759308, 6747333, 6657223, 6642536, 6630720, 6624476, 6555879, 6586808, 6534822, 6524929, 6504214, 6465267, 6486038, 6437404, 6433379, 6420770, 6323093, 6287918, 6274420, 6214683, 6211044, 6248675, 6200863, 6190952, 6187657, 6180469, 6165902, 6239452, 6133129, 6121155, 6159782, 6060377, 6047243, 6087231, 6392280, 6376343, 6936516, 6921709, 6905923, 6902991, 6900143, 6867428, 6855982, 6979635, 6811448, 6756276, 6727534, 6682973, 6680233, 6642590, 6707106, 6703648, 6589866, 6562717, 6555453, 6544872, 6528362, 6518154, 6518107, 6583012, 6492249, 6448127, 6440867, 6440868, 6436840, 6291278, 6271132, 6093594, 6955969, 6951220, 6943087, 6936506, 6929992, 6902977, 6902966, 6893929, 6878592, 6867080, 6825115, 6797614, 6780789, 6812106, 6764908, 6746944, 6743689, 6800910, 6680250, 6660578, 6657276, 6657267, 6656749, 6555439, 6551888, 6528858, 6924182, 6465334, 6297107, 6368950, 6342414, 6872613, 6858503, 6962857, 6787864, 6784506, 6764912, 6730576, 6602781, 6475874, 6465309, 6458679, 6562718"
05866483-1,"6449871, 6185839"
05866483-3,6153530
05866795-1,"6148761, 6176198, 6506994"
05866928-1,"6930503, 6870750, 6735132, 6756805, 6590817, 6510533, 6496027, 6167541, 6066870"
05866939-3,"6479887, 6428641, 6589801, 6150709"
05866939-4,6150709
05866945-2,"6412498, 6350696, 6794298, 6522013, 6492257, 6472751, 6486506, 6440874, 6316345, 6274475, 6261956, 6232635, 6245681, 6194328, 6180534, 6177355, 6239006, 6133142, 6130169, 6114766, 6060384, 6087724, 6043147, 6010965, 6084290, 6083850, 6083851, 6383945, 6376877, 6667243, 6653231, 6630288, 6620717, 6562723, 6589709, 6551923, 6537866, 6500757, 6441418, 6214742, 6207582, 6174819, 6127259, 6153504, 6066546, 6222761, 6969654, 6709924, 6426301, 6265294, 6265273, 6432761, 6236595, 6617215, 6479348, 6774432"
05867001-1,"6020699, 6011415, 6903780, 6633243, 6570415"
05867001-3,"6851493, 6282044, 6275092, 6353914, 6020699, 6809598, 6924681, 6606004, 6366420"
05867001-4,6151186
05867033-3,"6839964, 6720501, 6911835"
05867202-2,"6908791, 6204085, 6908778, 6614576"
05867221-1,6788707
05867297-1,6819822
05867584-1,"6614486, 6275263, 6184936, 6823016, 6728313"
05867698-1,6781411
05868097-1,6308856
05868301-2,"6791169, 6468830"
05869360-3,"6911702, 6879507, 6727168, 6770921, 6900494, 6723597, 6613617, 6599789, 6583518, 6380596, 6333254, 6066517, 6930901, 6962841, 6812529, 6594172, 6535413, 6677650, 6376358"
05869732-2,"6034920, 6169698, 6097648, 6049499, 6038158, 6031779"
05869976-1,"6111420, 6018248"
05869976-2,"6111420, 6018248"
05869979-1,"6208162, 6651155"
05869995-1,"6734737, 6586997, 6580359, 6552577, 6501327, 6844768, 6307432, 6194886"
05870031-2,6806783
05870327-1,"6740936, 6645802, 6621325, 6549458, 6522582, 6268639, 6266269"
05870331-1,6046942
05870670-1,"6639470, 6842067, 6768382, 6734729"
05871321-2,"6513452, 6221782"
05871368-1,6950904
05871390-5,6454332
05872028-2,"6437419, 6275093"
05872028-4,"6680232, 6673681, 6433385, 6211550"
05872031-2,"6949774, 6825559"
05872060-2,6218277
05872377-1,6489652
05872422-1,6951695
05872464-1,"6633189, 6249464"
05872529-1,"6172900, 6040712, 6288970, 6191998, 6094064, 6392954, 6344755, 6201404, 6052327, 6798242, 6577160, 6417694, 6300794, 6107824, 6879183, 6480028, 6215326"
05872795-1,"6948096, 6928638"
05872795-2,6684322
05872802-2,"6609243, 6815984, 6904436, 6490712"
05872820-1,6771594
05872946-2,"6189140, 6145100, 6142683, 6085311, 6154856"
05873119-2,6784890
05873385-1,"6617928, 6515541, 6639470"
05873894-2,6948155
05874330-1,6518135
05874344-1,6800887
05875122-1,"6944640, 6889237, 6842181, 6775413, 6766286, 6757430, 6751640, 6725247, 6694061, 6662200, 6678708, 6639691, 6961472, 6954228, 6813384, 6795566, 6748118, 6697534, 6731807, 6731706, 6654501, 6653953, 6650688, 6646577, 6640017, 6956903, 6917381, 6891889, 6798901, 6834123, 6690306, 6658399, 6759646, 6825470, 6738520, 6707928, 6681060, 6795592"
05875130-3,"6275415, 6157572"
05875130-4,"6188609, 6243300, 6147907, 6141255, 6052310, 6011721, 6490205, 6452840, 6233175, 6215702, 6331952, 6442074, 6307784, 6275415, 6385093, 6493261, 6157572, 6465303, 6555436, 6541816, 6468865, 6465306"
05875153-1,"6801461, 6353563, 6014336"
05875192-1,"6680954, 6671758"
05875559-2,6244931
05877044-2,"6916712, 6818947, 6717230, 6677641, 6673681, 6638826, 6602768, 6534828, 6445035, 6433385, 6376878, 6373098, 6365942, 6351009, 6285056, 6198127, 6188105, 6870220"
05877044-4,"6215168, 6373098, 6638826, 6445035, 6455379, 6246090"
05877044-6,"6818947, 6573569"
05877100-3,"6645878, 6380105, 6159295"
05877641-3,"6894542, 6861901, 6255901, 6215286"
05878028-3,"6967967, 6961344, 6625157, 6725270, 6563790, 6229817, 6731601"
05878119-1,"6456650, 6269154, 6201830"
05878234-2,"6850577, 6549587"
05879467-1,"6349589, 6054862"
05879523-1,"6672864, 6139698, 6303994, 6299689, 6077402, 6610189, 6913680"
05879947-1,"6498898, 6251759, 6202656, 6038919, 6098964, 6179925, 6176930, 6596085, 6402806, 6358323, 6099649"
05879965-1,"6700183, 6685083, 6684717, 6710462, 6933221, 6926190, 6902956, 6844052, 6825570, 6820502, 6864153, 6788552, 6784024, 6777268, 6774480, 6765652, 6737299, 6717259, 6757176, 6137063, 6586277, 6582994, 6579744, 6566253, 6561044, 6548376, 6544864, 6531340, 6524891, 6520030, 6515355, 6539815, 6539286, 6458624, 6455923, 6455354, 6426552, 6423579, 6406944, 6365842, 6363796, 6359334, 6355504, 6346750, 6380626, 6316285, 6239489, 6207559, 6164993, 6073497, 6051879, 6691406, 6689635, 6710456, 6664175, 6662440, 6707147, 6706559, 6979889, 6979598, 6949834, 6967164, 6936775, 6900080, 6896760, 6894380, 6893952, 6889430, 6881606, 6872600, 6906417, 6844618, 6841422, 6825569, 6803657, 6791168, 6787399, 6770981, 6770164, 6768209, 6740821, 6762485, 6724073, 6630400, 6616864, 6610591, 6602730, 6601294, 6647620, 6124151, 6118080, 6113709, 6110805, 6108228, 6562277, 6551863, 6544820, 6589812, 6541872, 6518094, 6514795, 6508890, 6506628, 6501170, 6538898, 6492713, 6489681, 6465314, 6452271, 6451116, 6414869, 6413102, 6388199, 6346151, 6343019, 6380632, 6323543, 6316824, 6303500, 6294410, 6288885, 6245594, 6208519, 6200833, 6184064, 6165856, 6083768, 6064120, 6048755, 6048656, 6091136, 6023666, 6017776, 6699928, 6669781, 6661104, 6709896, 6969914, 6891108, 6890384, 6885108, 6833510, 6818460, 6858927, 6779258, 6641669, 6607599, 6599365, 6646354, 6576495, 6548764, 6521287, 6485778, 6440777, 6368897, 6353268, 6346152, 6336973, 6084311, 6013535, 6011307, 6972200, 6954081, 6953700, 6953699, 6949943, 6967113, 6962826, 6906415, 6812064, 6750070, 6545498, 6472901, 6369602, 6329832"
05879975-1,"6894355, 6867130, 6306710, 6121123, 6066567, 6660578, 6657276, 6657267, 6528858, 6027959, 6087271, 6380588, 6103611, 6380047, 6599810, 6171962, 6239031, 6162699, 6143624, 6130467, 6124183, 6090712, 6074927, 6037671, 6090713"
05879975-5,6107172
05879975-6,"6858496, 6689682, 6620705, 6265751, 6586339, 6319775, 6180538, 6849925, 6645882, 6265268, 6902966, 6867097, 6867080, 6825115, 6780789, 6812106, 6746944, 6743689, 6803272, 6680250, 6674138, 6656749, 6555439, 6551888"
05880015-1,"6967111, 6956165"
05880018-3,"6884727, 6924184, 6858542, 6838354"
05880026-1,"6806101, 6692976, 6635498, 6576922, 6555431, 6605536, 6492222, 6410426, 6485988, 6153490, 6958294, 6902939, 6573167, 6599829, 6444542, 6424040, 6211035, 6171970, 6090697, 6194313, 6872665"
05880026-2,"6787875, 6951812, 6911389, 6903918, 6693356, 6620727, 6548400, 6465339, 6605536, 6600208, 6246120, 6074943"
05880511-1,"6399469, 6399450, 6399427, 6395609, 6395589, 6414355, 6391782, 6391753, 6391728, 6391695, 6413829, 6383904, 6380590, 6380043, 6380038, 6380019, 6376320, 6372659, 6372589, 6372584, 6372561, 6368982, 6368947, 6365445, 6362055, 6361874, 6410371, 6355543, 6348387, 6342438, 6342410, 6406986, 6406951, 6403981, 6403434, 6403433, 6936882, 6936506, 6933558, 6924561, 6921963, 6974983, 6914277, 6911697, 6902966, 6897527, 6894355, 6894337, 6893930, 6876042, 6872647, 6867101, 6867080, 6855989, 6855607, 6855583, 6853020, 6852576, 6835618, 6833588, 6825115, 6967175, 6963104, 6958512, 6787854, 6787852, 6787476, 6787439, 6787424, 6787406, 6787402, 6780789, 6774436, 6812119, 6812106, 6812076, 6765227, 6764908, 6764884, 6762483, 6762448, 6756643, 6756277, 6746944, 6746926, 6743689, 6743687, 6743680, 6815268, 6806147, 6803631, 6696725, 6693333, 6689671, 6717212, 6686248, 6686231, 6682973, 6680233, 6680250, 6716690, 6716686, 6670260, 6664146, 6660578, 6657276, 6657267, 6656749, 6646307, 6645797, 6642122, 6630712, 6630386, 6630385, 6611029, 6709982, 6709935, 6706614, 6706571, 6703281, 6703277, 6566213, 6566212, 6562665, 6559015, 6555879, 6555439, 6555437, 6552377, 6551888, 6551886, 6551885, 6534373, 6531710, 6531368, 6528858, 6528851, 6524920, 6521502, 6521501, 6518631, 6514829, 6509253, 6507078, 6506650, 6506638, 6504214, 6503817, 6495437, 6495402, 6492670, 6475890, 6475869, 6472282, 6468888, 6465315, 6465313, 6465312, 6461945, 6459141, 6458662, 6458639, 6455903, 6451656, 6451644, 6448613, 6448165, 6448114, 6445042, 6445016, 6441433, 6436773, 6432784, 6432763, 6429484, 6426259, 6423647, 6423599, 6420767, 6420218, 6482705, 6479868, 6479358, 6320228, 6319798, 6313505, 6312998, 6312995, 6300182, 6297117, 6297115, 6291302, 6287925, 6284672, 6284630, 6284582, 6281559, 6333244, 6281555, 6274469, 6271563, 6271095, 6268253, 6265291, 6265293, 6265256, 6265250, 6262456, 6255175, 6255174, 6251757, 6339017, 6326291, 6326273, 6235599, 6228721, 6225661, 6225173, 6225176, 6221724, 6218711, 6214681, 6214654, 6213869, 6246103, 6200869, 6194748, 6190980, 6190952, 6245618, 6187642, 6184097, 6180499, 6180476, 6180468, 6165849, 6248637, 6127216, 6114206, 6107667, 6100120, 6066533, 6051470, 6087235, 6084271, 6015999, 6921704, 6979635"
05880511-3,6015999
05880511-4,6015999
05880511-5,6015999
05880592-1,"6140829, 6433570"
05880592-2,"6799289, 6140829, 6581172, 6433570, 6192495, 6441606, 6061509"
05880620-4,"6355965, 6909162, 6649950, 6486521, 6462365, 6339248, 6727946"
05880717-3,"6822968, 6704364, 6539520"
05880923-1,"6743473, 6908865, 6475902, 6215640, 6163448, 6067222, 6117246, 6104596, 6099697, 6547934, 6057244, 6219219"
05881102-1,"6693641, 6971034, 6871119"
05881159-3,6927632
05881232-2,6621325
05881248-1,"6415348, 6401156, 6530050, 6484227, 6327508, 6857033, 6791554, 6625683, 6480929, 6163826"
05881277-2,6170053
05881277-3,"6038645, 6032225"
05881279-3,"6907490, 6904502, 6826645, 6839814, 6775746, 6654909, 6675266"
05881296-1,6732190
05882221-1,"6541874, 6329224, 6197665, 6086386"
05882399-2,6156647
05882414-2,"6162285, 6123097"
05882498-2,"6399505, 6710447, 6071813, 6010960, 6380625, 6362100, 6346745, 6346470, 6368961, 6563222, 6472755, 6465345, 6417571, 6335283, 6174799, 6242349, 6146988, 6066557, 6059940, 6043153, 6368954, 6660634, 6538327, 6492266, 6303505, 6294396, 6281587, 6281121, 6261946, 6235632, 6228754, 6214731, 6211084, 6165894, 6147000, 6143650, 6117769, 6103624, 6033584, 6022808, 6083817, 6080669, 6294396, 6380556, 6734559, 6172421, 6127193"
05882535-1,"6680255, 6660644, 6784111, 6635335, 6402886, 6291359, 6258728, 6280646, 6074957, 6093655, 6010967"
05882538-3,"6593200, 6479394, 6303413"
05883374-1,6800933
05883391-1,"6200883, 6093625"
05883545-1,6438162
05883567-1,6381716
05883788-1,"6887723, 6644982, 6627483"
05883797-2,6222745
05884023-2,"6178499, 6892380, 6889320, 6691240, 6799266, 6754893"
05884062-2,"6148395, 6128687"
05884148-2,6751205
05885147-1,"6863564, 6844738"
