inv_num,pnum_str
03940979-3,"6320334, 6462489"
03942121-1,"6650174, 6356140, 6229385, 6167242, 6038400, 6011440"
03943287-2,"6717246, 6650556"
03944926-1,6928101
03948027-1,"6831598, 6879593"
03948813-2,"6704236, 6903996, 6903993, 6902958, 6901004, 6898103, 6822918, 6744660, 6700176, 6693819, 6639866, 6525955, 6519204"
03949053-2,6429727
03950654-3,"6924561, 6777708, 6808948, 6941529, 6933558, 6858450, 6974983, 6914277, 6787406, 6516450, 6774395"
03950848-1,"6903354, 6884361, 6846086, 6816648, 6801298, 6730615, 6700700, 6671088, 6671054"
03953766-3,6621256
03953874-4,"6040707, 6278186, 6172541, 6114191, 6492705, 6211056"
03954191-2,"6689221, 6555832, 6864494, 6437351, 6515288, 6350991, 6501078, 6331713, 6274875, 6271530, 6268609, 6323496, 6163033, 6878946, 6908836, 6956223"
03955100-1,"6785148, 6713318, 6928200"
03956635-1,"6717146, 6369385, 6555830, 6429443, 6376985, 6555829, 6376984"
03958188-3,"6487328, 6236773, 6716081, 6413135"
03958323-1,6953974
03958528-1,6686649
03959757-2,6710695
03960157-2,"6885033, 6635503, 6740906, 6888167, 6747298"
03961333-1,6063511
03961666-3,"6423568, 6387726, 6337283, 6274402"
03961749-1,"6956684, 6644820, 6639711, 6534337, 6194786, 6187612, 6155474, 6109508, 6032850, 6743656, 6900918, 6714336, 6452238, 6709948, 6687132, 6731420, 6295154"
03962683-2,6650317
03963955-1,"6847168, 6768265"
03965279-1,"6217655, 6184150, 6110821"
03967135-2,"6697387, 6678287, 6636920, 6651127, 6526497, 6430637, 6418502, 6370593, 6363447, 6363446, 6385680, 6349376, 6389492, 6321233, 6292807, 6330654, 6330647"
03968512-1,"6131140, 6359316"
03969768-1,"6198976, 6155773"
03970448-1,"6741333, 6567153"
03970841-1,"6819125, 6806576, 6563219, 6358862, 6077755, 6933552, 6933224, 6756283, 6649467, 6160283, 6114720, 6103565, 6551878, 6589838, 6479855, 6455367, 6414351, 6413831, 6352932, 6242301, 6204114, 6191444, 6187621, 6087263, 6066539"
03970950-3,"6651036, 6587061, 6516291, 6501329, 6359576, 6362677"
03970995-1,"6040983, 6373127"
03970999-1,"6835579, 6512289"
03971013-2,"6765411, 6657474, 6642861"
03971436-1,"6557967, 6171510, 6656831, 6716733, 6528180"
03972059-1,"6709895, 6460245, 6127724, 6075289, 6362520, 6354485, 6335222, 6309915, 6388340, 6208024, 6191473, 6978538, 6780747, 6706973, 6700072, 6687842, 6653172, 6570101, 6465893, 6465747, 6458681, 6458628, 6433419, 6372527, 6126428, 6107123, 6104087, 6080605, 6365975, 6046076, 6044548, 6030856, 6392306, 6365436, 6324754, 6281588, 6265765, 6247228, 6218215, 6373141, 6194291, 6191368, 6147400, 6133627, 6420661, 6870272, 6723584, 6541874, 6541852, 6525429, 6468836, 6370032, 6081035, 6080603, 6045655, 6012224, 6359335, 6329224, 6306752, 6265759, 6255738, 6228685, 6232152, 6215191, 6202299, 6197665, 6196042, 6133639, 6897090, 6603209, 6359236, 6286205, 6274822, 6274820, 6272744, 6266874, 6239386, 6202297, 6938338, 6541845, 6086386, 6338982, 6261863, 6255723, 6217972, 6208025, 6205660, 6888229, 6054756, 6357112"
03972061-1,"6130575, 6111439"
03972383-1,"6973133, 6519290, 6122706"
03972499-1,6265266
03972504-3,6556887
03974325-1,6952656
03974517-3,6162702
03975248-1,6109118
03975772-1,"6566236, 6183940"
03976224-2,"6868019, 6865115, 6809970, 6529422, 6191644, 6118323, 6737897, 6586979, 6546510, 6201752, 6242936, 6134168, 6038177"
03977071-1,6111315
03978452-2,"6785850, 6829759, 6889320, 6728950, 6625719, 6411984, 6374346, 6477641"
03978472-1,"6790727, 6916669"
