inv2,inv1
03882484-1,03882484-1
04139731-2,03882484-1
04402294-2,03882484-1
04484111-2,03882484-1
04519401-2,03882484-1
04565941-2,03882484-1
04706036-1,03882484-1
04806189-2,03882484-1
05314572-1,03882484-1
05326726-1,03882484-1
05345824-1,03882484-1
05510156-1,03882484-1
05637993-1,03882484-1
05869995-1,03882484-1
05977840-2,03882484-1
06072676-2,03882484-1
06194886-1,03882484-1
06943786-0,03882484-1
03882728-1,03882728-1
06107875-1,03882728-1
03883136-1,03883136-1
04147655-2,03883136-1
04773046-1,03883136-1
04797631-1,03883136-1
04803665-1,03883136-1
04808259-2,03883136-1
05158644-1,03883136-1
05260236-2,03883136-1
05263000-4,03883136-1
05287401-1,03883136-1
05296094-1,03883136-1
05305424-2,03883136-1
05356722-2,03883136-1
05444018-1,03883136-1
05548091-4,03883136-1
05674321-1,03883136-1
05792269-4,03883136-1
05801446-2,03883136-1
05812403-2,03883136-1
05837058-3,03883136-1
05915752-7,03883136-1
05921855-1,03883136-1
05951305-1,03883136-1
05968324-4,03883136-1
06054379-4,03883136-1
06074514-1,03883136-1
06211092-1,03883136-1
06215705-1,03883136-1
06220941-7,03883136-1
06229735-2,03883136-1
06243316-6,03883136-1
06273022-4,03883136-1
06326307-4,03883136-1
06340435-2,03883136-1
06340435-7,03883136-1
06344297-2,03883136-1
06380060-1,03883136-1
06403491-1,03883136-1
06403491-2,03883136-1
06403491-7,03883136-1
06430824-1,03883136-1
06632733-1,03883136-1
06811470-2,03883136-1
06897565-0,03883136-1
03884788-2,03884788-2
03885173-1,03885173-1
05899798-1,03885173-1
06113479-1,03885173-1
03886001-1,03886001-1
03970950-3,03886001-1
04537196-2,03886001-1
04633165-1,03886001-1
05751139-3,03886001-1
06518733-2,03886001-1
03886017-2,03886017-2
03972059-1,03886017-2
04457986-3,03886017-2
04482445-1,03886017-2
04884864-2,03886017-2
04985870-1,03886017-2
05065228-3,03886017-2
05214844-1,03886017-2
05491302-2,03886017-2
05548091-4,03886017-2
05590460-3,03886017-2
05632631-4,03886017-2
05688716-3,03886017-2
05861666-1,03886017-2
05951305-1,03886017-2
05966592-1,03886017-2
06002168-4,03886017-2
06217972-3,03886017-2
06248656-1,03886017-2
06248656-4,03886017-2
06357112-4,03886017-2
06939735-1,03886017-2
03886058-1,03886058-1
05402367-6,03886058-1
05423942-3,03886058-1
05901062-1,03886058-1
06157062-6,03886058-1
03886401-1,03886401-1
03959757-2,03886401-1
05861794-1,03886401-1
06188033-1,03886401-1
06188033-3,03886401-1
06229426-1,03886401-1
06229426-2,03886401-1
06710695-2,03886401-1
03887373-2,03887373-2
04787958-1,03887373-2
05520785-3,03887373-2
05708325-2,03887373-2
05919302-3,03887373-2
06362089-2,03887373-2
06953985-6,03887373-2
03887872-1,03887872-1
03887882-1,03887882-1
04717461-6,03887882-1
04842683-6,03887882-1
04908331-1,03887882-1
05072288-2,03887882-1
05201990-4,03887882-1
05271264-1,03887882-1
05326725-9,03887882-1
05780360-1,03887882-1
05834068-1,03887882-1
05834068-3,03887882-1
05846332-10,03887882-1
03888819-2,03888819-2
05065224-6,03888819-2
05086558-1,03888819-2
05590460-3,03888819-2
03889098-2,03889098-2
06453747-1,03889098-2
06672170-1,03889098-2
06763724-3,03889098-2
03889151-1,03889151-1
04815874-2,03889151-1
05852398-1,03889151-1
06559411-3,03889151-1
06559411-5,03889151-1
06919530-2,03889151-1
03889237-2,03889237-2
06332181-3,03889237-2
06412050-1,03889237-2
06766449-3,03889237-2
06954849-1,03889237-2
03890362-1,03890362-1
04584635-1,03890362-1
04774654-4,03890362-1
05781788-3,03890362-1
06189064-3,03890362-1
06963613-2,03890362-1
03890564-4,03890564-4
04543441-3,03890564-4
04830456-2,03890564-4
04855798-2,03890564-4
04907046-3,03890564-4
05081515-1,03890564-4
05153685-12,03890564-4
05208782-13,03890564-4
05221634-1,03890564-4
05578849-10,03890564-4
05578849-5,03890564-4
05578849-7,03890564-4
05578849-8,03890564-4
05578849-9,03890564-4
05732009-9,03890564-4
05933724-6,03890564-4
