inv2,inv1
06931089-1,06055225-1
04569121-3,06055241-2
04878028-1,06055241-2
06055241-2,06055241-2
06055241-4,06055241-2
04569121-3,06055241-4
04878028-1,06055241-4
06055241-2,06055241-4
06055241-4,06055241-4
04188626-1,06055268-1
04232328-2,06055268-1
04736291-2,06055268-1
04977591-1,06055268-1
05425050-2,06055268-1
05461640-1,06055268-1
05910970-1,06055268-1
06002722-1,06055268-1
06021158-1,06055268-1
06021158-3,06055268-1
06055268-1,06055268-1
06055268-4,06055268-1
06055268-6,06055268-1
06072769-1,06055268-1
06137881-2,06055268-1
06408004-1,06055268-1
06522730-4,06055268-1
06947736-1,06055268-1
06947736-5,06055268-1
04188626-1,06055268-4
04232328-2,06055268-4
04736291-2,06055268-4
04977591-1,06055268-4
05425050-2,06055268-4
05461640-1,06055268-4
05910970-1,06055268-4
06002722-1,06055268-4
06021158-1,06055268-4
06021158-3,06055268-4
06055268-1,06055268-4
06055268-4,06055268-4
06055268-6,06055268-4
04188626-1,06055268-6
04232328-2,06055268-6
04736291-2,06055268-6
04977591-1,06055268-6
05425050-2,06055268-6
05461640-1,06055268-6
05910970-1,06055268-6
06002722-1,06055268-6
06021158-1,06055268-6
06021158-3,06055268-6
06055268-1,06055268-6
06055268-4,06055268-6
06055268-6,06055268-6
06134273-2,06055268-6
05026113-2,06055274-1
05459486-1,06055274-1
05907351-2,06055274-1
06055274-1,06055274-1
06519559-1,06055274-1
06698011-3,06055274-1
06937168-4,06055274-1
06937168-5,06055274-1
06937168-6,06055274-1
04394587-2,06055300-2
05203012-5,06055300-2
05889383-1,06055300-2
05905873-1,06055300-2
06055300-2,06055300-2
06091255-1,06055300-2
04534824-1,06055366-4
05511026-2,06055366-4
05638326-3,06055366-4
05675537-2,06055366-4
06055366-4,06055366-4
06055460-1,06055460-1
04811208-4,06055555-1
05724527-6,06055555-1
05995122-4,06055555-1
06055555-1,06055555-1
06055555-2,06055555-1
04811208-4,06055555-2
04811364-1,06055555-2
05459673-1,06055555-2
05724527-6,06055555-2
05995122-4,06055555-2
06055555-1,06055555-2
06055555-2,06055555-2
06880069-2,06055555-2
04972338-1,06055606-1
04985640-1,06055606-1
05391518-1,06055606-1
06055606-1,06055606-1
05060138-1,06055619-1
05751179-2,06055619-1
06055619-1,06055619-1
06055619-3,06055619-1
06055619-5,06055619-1
06055619-6,06055619-1
06055619-7,06055619-1
06754784-2,06055619-1
06912557-1,06055619-1
05060138-1,06055619-3
05751179-2,06055619-3
06055619-1,06055619-3
06055619-3,06055619-3
06055619-5,06055619-3
06055619-6,06055619-3
06055619-7,06055619-3
05060138-1,06055619-5
05751179-2,06055619-5
06055619-1,06055619-5
06055619-3,06055619-5
06055619-5,06055619-5
06055619-6,06055619-5
06055619-7,06055619-5
05060138-1,06055619-6
05751179-2,06055619-6
06055619-1,06055619-6
06055619-3,06055619-6
06055619-5,06055619-6
06055619-6,06055619-6
06055619-7,06055619-6
05060138-1,06055619-7
05751179-2,06055619-7
06055619-1,06055619-7
06055619-3,06055619-7
06055619-5,06055619-7
06055619-6,06055619-7
06055619-7,06055619-7
06754784-2,06055619-7
05537560-2,06055630-4
05574871-8,06055630-4
05710902-1,06055630-4
06055630-4,06055630-4
06715064-2,06055630-4
06766449-2,06055630-4
06766449-3,06055630-4
06766449-4,06055630-4
06772293-1,06055630-4
06772293-3,06055630-4
06772293-4,06055630-4
04301324-1,06056267-1
04456800-1,06056267-1
04808259-2,06056267-1
04872947-6,06056267-1
04940508-1,06056267-1
05065118-2,06056267-1
05106200-1,06056267-1
05110712-2,06056267-1
05128797-2,06056267-1
05178739-1,06056267-1
05187454-2,06056267-1
05187454-5,06056267-1
05292137-3,06056267-1
05296094-1,06056267-1
05350479-3,06056267-1
05392018-7,06056267-1
05437757-1,06056267-1
05605603-1,06056267-1
05605637-2,06056267-1
05636098-6,06056267-1
05674321-1,06056267-1
05700327-2,06056267-1
05720818-4,06056267-1
05722668-2,06056267-1
05801386-1,06056267-1
05801915-2,06056267-1
06056267-1,06056267-1
06079356-2,06056267-1
06108189-11,06056267-1
06120608-3,06056267-1
06140612-2,06056267-1
06151203-10,06056267-1
06353210-5,06056267-1
06364957-4,06056267-1
06364957-6,06056267-1
06494958-2,06056267-1
06566272-1,06056267-1
06917755-3,06056267-1
06056601-1,06056601-1
06056601-2,06056601-1
06691242-2,06056601-1
06056601-1,06056601-2
06056601-2,06056601-2
04705181-1,06056631-1
05225372-2,06056631-1
06056631-1,06056631-1
06057068-1,06056631-1
06376350-2,06056631-1
04223586-1,06057068-1
04705181-1,06057068-1
05296411-2,06057068-1
05308722-1,06057068-1
05361526-1,06057068-1
05372951-3,06057068-1
05966766-1,06057068-1
06056631-1,06057068-1
06057068-1,06057068-1
06157078-1,06057068-1
06258681-2,06057068-1
05055169-2,06057235-2
05231306-1,06057235-2
05667645-1,06057235-2
06057235-2,06057235-2
06168696-3,06057235-2
05129994-5,06057244-3
05321544-1,06057244-3
05629653-1,06057244-3
05880923-1,06057244-3
05900062-3,06057244-3
06045666-1,06057244-3
06057244-3,06057244-3
06057244-4,06057244-3
06162297-2,06057244-3
06219219-7,06057244-3
05321544-1,06057244-4
05880923-1,06057244-4
06057244-3,06057244-4
06057244-4,06057244-4
06117245-1,06057244-4
06117245-2,06057244-4
05610503-1,06057607-1
06057607-1,06057607-1
06377032-1,06057607-1
06504422-2,06057607-1
06836157-2,06057607-1
05235740-2,06057662-1
06057662-1,06057662-1
05381370-1,06057696-2
06018686-1,06057696-2
06057696-2,06057696-2
06057696-3,06057696-2
06169322-1,06057696-2
06018686-1,06057696-3
06057696-2,06057696-3
06057696-3,06057696-3
05477474-2,06057707-2
06057707-2,06057707-2
05870670-1,06057714-1
05873385-1,06057714-1
06057714-1,06057714-1
06230001-1,06057714-1
06236071-1,06057714-1
06472937-1,06057714-1
06472937-2,06057714-1
06639470-6,06057714-1
06865215-1,06057714-1
06057714-2,06057714-2
06472937-2,06057714-2
06865215-1,06057714-2
06873211-2,06057714-2
06057735-1,06057735-1
04862409-1,06057793-3
06057793-3,06057793-3
05393647-4,06058027-1
06058027-1,06058027-1
06127882-2,06058027-1
04879631-2,06058056-3
04891794-3,06058056-3
05657284-1,06058056-3
06058056-3,06058056-3
06058068-1,06058068-1
06058140-1,06058140-1
06950605-1,06058140-1
04223586-1,06058161-1
05339251-2,06058161-1
06058161-1,06058161-1
06058227-1,06058227-1
06064334-2,06058227-1
06651057-3,06058227-1
06058255-1,06058255-1
06058363-1,06058363-1
06151573-1,06058363-1
04905180-1,06058403-1
06058403-1,06058403-1
06615229-2,06058403-1
05027008-1,06058427-1
05400322-2,06058427-1
05596585-1,06058427-1
05784375-4,06058427-1
05953335-1,06058427-1
05953335-3,06058427-1
06058427-1,06058427-1
06252872-1,06058427-1
06407960-2,06058427-1
06442137-2,06058427-1
06459698-1,06058427-1
06697380-2,06058427-1
06046742-1,06058445-2
06058445-2,06058445-2
04912636-4,06058474-1
05841379-1,06058474-1
06058474-1,06058474-1
06058474-3,06058474-1
05841379-1,06058474-3
06058474-1,06058474-3
06058474-3,06058474-3
04566175-1,06060372-2
06060372-2,06060372-2
06060372-3,06060372-2
06060372-4,06060372-2
04566175-1,06060372-3
06060372-2,06060372-3
06060372-3,06060372-3
06060372-4,06060372-3
06203608-1,06060372-3
06465307-1,06060372-3
06582977-2,06060372-3
06709932-2,06060372-3
06802987-1,06060372-3
04566175-1,06060372-4
05571733-1,06060372-4
06060372-2,06060372-4
06060372-3,06060372-4
06060372-4,06060372-4
06660605-1,06060372-4
06060376-3,06060376-3
06775218-8,06060376-3
04376137-2,06060397-2
05100355-2,06060397-2
05314845-5,06060397-2
05781038-2,06060397-2
05994209-3,06060397-2
06051284-3,06060397-2
06060397-2,06060397-2
06060397-3,06060397-2
06060397-6,06060397-2
06090206-3,06060397-2
06153540-1,06060397-2
05100355-2,06060397-3
05314845-5,06060397-3
06051284-3,06060397-3
06060397-2,06060397-3
06060397-3,06060397-3
06060397-6,06060397-3
05100355-2,06060397-6
05314845-5,06060397-6
06051284-3,06060397-6
06060397-2,06060397-6
06060397-3,06060397-6
06060397-6,06060397-6
06060402-1,06060402-1
06118343-1,06060402-1
06600179-1,06060402-1
03933860-1,06060404-5
04622576-1,06060404-5
05582881-1,06060404-5
05582881-3,06060404-5
05625231-1,06060404-5
05736423-1,06060404-5
05888898-3,06060404-5
05963841-3,06060404-5
06022749-3,06060404-5
06030901-1,06060404-5
06060404-5,06060404-5
06087275-3,06060404-5
06613657-6,06060404-5
06764952-6,06060404-5
06060775-1,06060775-1
06087717-2,06060775-1
06969638-0,06060775-1
06969638-1,06060775-1
06969638-2,06060775-1
06060874-1,06060874-1
06198296-1,06060874-1
06246351-1,06060874-1
06255807-2,06060874-1
06507233-1,06060874-1
06667650-1,06060874-1
04899107-2,06060891-5
04906314-1,06060891-5
05012664-1,06060891-5
05419807-1,06060891-5
06019663-2,06060891-5
06060891-5,06060891-5
06246250-2,06060891-5
05475251-1,06060895-1
06060895-1,06060895-1
06060921-1,06060921-1
05789981-1,06060937-2
06060937-2,06060937-2
06060938-1,06060938-1
04316060-1,06061010-2
06061010-2,06061010-2
05719879-2,06061092-2
05889975-1,06061092-2
06061092-2,06061092-2
06332188-6,06061092-2
06725360-4,06061092-2
03931878-1,06061507-2
05821892-1,06061507-2
05933588-1,06061507-2
06014033-1,06061507-2
06014033-2,06061507-2
06061507-2,06061507-2
06061507-3,06061507-2
06061507-4,06061507-2
06061507-7,06061507-2
06288724-1,06061507-2
06288724-3,06061507-2
06567182-2,06061507-2
05821892-1,06061507-3
06014033-1,06061507-3
06014033-2,06061507-3
06061507-2,06061507-3
06061507-3,06061507-3
06061507-4,06061507-3
06061507-7,06061507-3
05821892-1,06061507-4
06014033-1,06061507-4
06014033-2,06061507-4
06061507-2,06061507-4
06061507-3,06061507-4
06061507-4,06061507-4
06061507-7,06061507-4
05821892-1,06061507-7
06014033-1,06061507-7
06014033-2,06061507-7
06061507-2,06061507-7
06061507-3,06061507-7
06061507-4,06061507-7
06061507-7,06061507-7
04996655-1,06061509-3
05307083-1,06061509-3
05880592-2,06061509-3
06061509-3,06061509-3
06061509-4,06061509-3
06158030-4,06061509-3
06545497-1,06061509-3
06545497-2,06061509-3
05307083-1,06061509-4
05880592-2,06061509-4
06061509-3,06061509-4
06061509-4,06061509-4
06158030-4,06061509-4
06061614-2,06061614-2
06735756-2,06061614-2
06754882-1,06061614-2
04857835-1,06061811-2
05047973-1,06061811-2
05075572-2,06061811-2
05270955-2,06061811-2
05793669-1,06061811-2
05799180-1,06061811-2
05799180-2,06061811-2
06061811-2,06061811-2
06061811-4,06061811-2
06928011-0,06061811-2
05047973-1,06061811-4
05799180-2,06061811-4
06061811-2,06061811-4
06061811-4,06061811-4
06062119-1,06062119-1
04644429-1,06062663-4
05436792-1,06062663-4
05683159-1,06062663-4
06062663-4,06062663-4
06222735-3,06062663-4
06771516-3,06062663-4
03860757-1,06062681-2
04056094-1,06062681-2
05452314-1,06062681-2
05751863-1,06062681-2
06062681-2,06062681-2
06091864-1,06062681-2
06498873-4,06062681-2
06586678-2,06062681-2
06841733-2,06062681-2
06852928-2,06062681-2
04968148-4,06062968-1
06062968-1,06062968-1
06623331-2,06062968-1
06623331-3,06062968-1
06884156-0,06062968-1
05958288-3,06062968-3
06062968-3,06062968-3
06527622-4,06062968-3
04594173-1,06063186-2
04866005-2,06063186-2
05351163-2,06063186-2
05393993-3,06063186-2
05461005-3,06063186-2
05674320-1,06063186-2
05718760-2,06063186-2
05727527-1,06063186-2
06063186-2,06063186-2
06217662-3,06063186-2
06814801-1,06063186-2
04714536-4,06063196-1
05072288-2,06063196-1
05083865-3,06063196-1
05403459-1,06063196-1
05466626-4,06063196-1
05879947-1,06063196-1
06022793-2,06063196-1
06063196-1,06063196-1
06063196-2,06063196-1
06099596-2,06063196-1
06110530-5,06063196-1
06299692-4,06063196-1
06450116-2,06063196-1
06620670-1,06063196-1
06773507-3,06063196-1
06063196-1,06063196-2
06063196-2,06063196-2
05733426-1,06063197-2
06063197-2,06063197-2
05520969-2,06063198-3
05948958-1,06063198-3
06063198-3,06063198-3
04037111-4,06063199-3
04714536-4,06063199-3
04842683-6,06063199-3
04872947-5,06063199-3
05072288-2,06063199-3
05083865-3,06063199-3
05454903-2,06063199-3
05520969-2,06063199-3
05587428-4,06063199-3
05589003-2,06063199-3
05657479-3,06063199-3
05837058-2,06063199-3
05846332-7,06063199-3
05911113-1,06063199-3
05951776-1,06063199-3
05975740-2,06063199-3
05983906-4,06063199-3
06063199-3,06063199-3
06079356-2,06063199-3
06082714-4,06063199-3
06110530-2,06063199-3
06110530-5,06063199-3
06218301-2,06063199-3
06228208-2,06063199-3
06299692-4,06063199-3
06498091-3,06063199-3
06551929-5,06063199-3
06905541-6,06063199-3
06916398-5,06063199-3
06955211-4,06063199-3
05718618-2,06063246-2
06063246-2,06063246-2
06717226-2,06063246-2
06749968-3,06063246-2
04149640-1,06063440-3
04486511-1,06063440-3
04714536-4,06063440-3
05072288-2,06063440-3
05129994-5,06063440-3
05326725-9,06063440-3
05812403-2,06063440-3
05812403-3,06063440-3
05985033-1,06063440-3
06026762-1,06063440-3
06063440-3,06063440-3
06066836-2,06063440-3
06218301-2,06063440-3
06300255-1,06063440-3
06591850-1,06063440-3
06797643-2,06063440-3
03861783-3,06063531-4
04962064-4,06063531-4
05037506-2,06063531-4
05468339-2,06063531-4
05582881-1,06063531-4
05736423-1,06063531-4
05855837-2,06063531-4
05886909-3,06063531-4
05958744-2,06063531-4
05963841-3,06063531-4
05977542-3,06063531-4
05985497-5,06063531-4
06030901-1,06063531-4
06063531-4,06063531-4
06107167-1,06063531-4
06597463-2,06063531-4
06597463-5,06063531-4
05444272-1,06063659-1
06063659-1,06063659-1
04797631-1,06063670-1
04928018-1,06063670-1
05089872-3,06063670-1
05101764-3,06063670-1
05210446-1,06063670-1
05913145-1,06063670-1
06063670-1,06063670-1
06835672-1,06063670-1
04590258-2,06063685-3
05776811-3,06063685-3
06063685-3,06063685-3
04318976-2,06063692-3
04614835-2,06063692-3
04882649-1,06063692-3
04896243-1,06063692-3
06063692-3,06063692-3
06352900-2,06063692-3
04002523-1,06063696-5
05660319-2,06063696-5
05817569-1,06063696-5
05817569-5,06063696-5
06063696-5,06063696-5
05162532-1,06063923-2
05302589-3,06063923-2
05491237-3,06063923-2
06063923-2,06063923-2
05545483-1,06063995-2
06063995-2,06063995-2
06129779-3,06063995-2
06129779-4,06063995-2
06129779-5,06063995-2
06129779-6,06063995-2
05031360-2,06064120-1
05048664-1,06064120-1
05140404-1,06064120-1
05140405-2,06064120-1
05248075-3,06064120-1
05291061-1,06064120-1
05454474-1,06064120-1
05729049-1,06064120-1
05840598-1,06064120-1
05879965-1,06064120-1
05923081-1,06064120-1
05925384-1,06064120-1
06012502-1,06064120-1
06064120-1,06064120-1
06268275-3,06064120-1
06329220-2,06064120-1
06329832-3,06064120-1
06331453-2,06064120-1
06468891-1,06064120-1
06798057-1,06064120-1
05195827-1,06064187-4
05198969-1,06064187-4
05402060-1,06064187-4
06064187-4,06064187-4
06426666-1,06064187-4
04021910-1,06064274-3
05936537-2,06064274-3
06064274-3,06064274-3
06728276-3,06064274-3
06852966-0,06064274-3
06930300-2,06064274-3
06058227-1,06064334-2
06064334-2,06064334-2
06651057-3,06064334-2
05341009-2,06064340-2
05359211-1,06064340-2
06064340-2,06064340-2
05541662-4,06064420-2
05614940-2,06064420-2
05623589-2,06064420-2
06064420-2,06064420-2
06064654-1,06064654-1
05249137-1,06064810-1
05398519-2,06064810-1
06064810-1,06064810-1
06064854-1,06064854-1
04648058-1,06064947-1
05155452-2,06064947-1
06064947-1,06064947-1
04910687-3,06065099-1
06065099-1,06065099-1
06320811-2,06065099-1
06708244-1,06065099-1
06708244-4,06065099-1
06825683-2,06065099-1
06066366-1,06066366-1
06066366-2,06066366-1
06066366-3,06066366-1
06066366-4,06066366-1
06066366-5,06066366-1
06066366-1,06066366-2
06066366-2,06066366-2
06066366-3,06066366-2
06066366-4,06066366-2
06066366-5,06066366-2
06066366-1,06066366-3
06066366-2,06066366-3
06066366-3,06066366-3
06066366-4,06066366-3
06066366-5,06066366-3
06066366-1,06066366-4
06066366-2,06066366-4
06066366-3,06066366-4
06066366-4,06066366-4
06066366-5,06066366-4
06066366-1,06066366-5
06066366-2,06066366-5
06066366-3,06066366-5
06066366-4,06066366-5
06066366-5,06066366-5
04070632-1,06066507-4
04338679-1,06066507-4
04515906-3,06066507-4
04859304-1,06066507-4
04936950-1,06066507-4
05091290-1,06066507-4
05212442-2,06066507-4
05279975-1,06066507-4
05302238-2,06066507-4
05365551-4,06066507-4
05365551-5,06066507-4
05666379-1,06066507-4
06066507-4,06066507-4
06130602-9,06066507-4
04713145-1,06066545-2
05210446-1,06066545-2
06066545-2,06066545-2
06066545-4,06066545-2
04713145-1,06066545-4
05210446-1,06066545-4
06066545-2,06066545-4
06066545-4,06066545-4
04808273-3,06066546-2
04847674-4,06066546-2
04965739-1,06066546-2
05468339-2,06066546-2
05736423-1,06066546-2
05763327-3,06066546-2
05866945-2,06066546-2
05940651-1,06066546-2
06001688-1,06066546-2
06013156-2,06066546-2
06030901-3,06066546-2
06066546-2,06066546-2
06130169-2,06066546-2
06297065-2,06066546-2
05268202-1,06066574-3
05625231-1,06066574-3
05986344-3,06066574-3
06030901-1,06066574-3
06037232-1,06066574-3
06066574-3,06066574-3
06221793-2,06066574-3
06365423-2,06066574-3
06746927-1,06066574-3
04486511-1,06066836-2
04585223-1,06066836-2
04842683-6,06066836-2
04939739-3,06066836-2
05326725-9,06066836-2
05536330-1,06066836-2
05587428-4,06066836-2
05660472-3,06066836-2
05837058-2,06066836-2
05846332-5,06066836-2
05863598-2,06066836-2
05948958-2,06066836-2
05983906-4,06066836-2
06024393-4,06066836-2
06026762-1,06066836-2
06063440-3,06066836-2
06066836-2,06066836-2
06066836-6,06066836-2
06116186-1,06066836-2
06116186-2,06066836-2
06143084-6,06066836-2
06183130-3,06066836-2
06218301-2,06066836-2
06479100-3,06066836-2
06500266-4,06066836-2
06559039-4,06066836-2
06582522-4,06066836-2
06617553-2,06066836-2
04486511-1,06066836-6
04842683-6,06066836-6
05837058-2,06066836-6
05948958-2,06066836-6
06066836-2,06066836-6
06066836-6,06066836-6
04595875-1,06066977-1
04595875-5,06066977-1
04910712-1,06066977-1
05130574-1,06066977-1
06066977-1,06066977-1
06066989-3,06066989-3
06950634-1,06066989-3
06067040-1,06067040-1
04928247-1,06067090-2
06044457-4,06067090-2
06067090-2,06067090-2
06674479-3,06067090-2
04750147-2,06067290-2
05623511-2,06067290-2
06067290-2,06067290-2
06067290-3,06067290-2
06067290-4,06067290-2
06314146-1,06067290-2
06678253-3,06067290-2
06760882-2,06067290-2
04750147-2,06067290-3
05191462-2,06067290-3
05523766-1,06067290-3
05623511-2,06067290-3
06067290-2,06067290-3
06067290-3,06067290-3
06067290-4,06067290-3
06678253-3,06067290-3
06760882-2,06067290-3
06862440-0,06067290-3
06963619-3,06067290-3
04750147-2,06067290-4
05191462-2,06067290-4
05523766-1,06067290-4
06067290-2,06067290-4
06067290-3,06067290-4
06067290-4,06067290-4
06400699-1,06067290-4
06760882-2,06067290-4
06963619-3,06067290-4
06067335-1,06067335-1
06067335-3,06067335-1
06269058-3,06067335-1
06631103-2,06067335-1
05012622-7,06067335-2
06067335-2,06067335-2
06535033-2,06067335-2
06067335-1,06067335-3
06067335-3,06067335-3
06269058-3,06067335-3
05664197-5,06067606-1
06067606-1,06067606-1
06658532-2,06067606-1
06658532-3,06067606-1
05809550-3,06067629-2
06067629-2,06067629-2
06128718-1,06067629-2
05175853-2,06067656-2
05428565-1,06067656-2
05504756-2,06067656-2
05517136-2,06067656-2
05577227-2,06067656-2
05761444-5,06067656-2
05915117-3,06067656-2
06067656-2,06067656-2
06397301-1,06067656-2
06438650-3,06067656-2
06067840-1,06067840-1
06067840-2,06067840-1
06360582-2,06067840-1
06067840-1,06067840-2
06067840-2,06067840-2
05679605-1,06067855-1
06067855-1,06067855-1
03895263-1,06067858-2
04703283-1,06067858-2
05542295-3,06067858-2
06067858-2,06067858-2
06230563-3,06067858-2
06230563-4,06067858-2
06530275-1,06067858-2
06822370-3,06067858-2
06067860-1,06067860-1
06067860-2,06067860-1
06067860-1,06067860-2
06067860-2,06067860-2
05775379-1,06068016-2
06068016-2,06068016-2
06068518-1,06068518-1
06255222-2,06068518-1
06315586-2,06068518-1
05256599-2,06068539-3
05292399-2,06068539-3
05761023-5,06068539-3
06068539-3,06068539-3
06146259-4,06068539-3
06367412-5,06068539-3
06436302-1,06068539-3
06592439-6,06068539-3
06709314-3,06068539-3
06780773-4,06068539-3
06780773-5,06068539-3
06790768-1,06068539-3
05536330-1,06068703-2
05948958-2,06068703-2
06068703-2,06068703-2
06068818-2,06068818-2
06437669-1,06068818-2
06452267-2,06068818-2
06068954-1,06068954-1
04782380-2,06069079-1
04819047-1,06069079-1
06069079-1,06069079-1
06127194-2,06069079-1
06147399-2,06069079-1
06253353-2,06069079-1
06384618-2,06069079-1
06521486-2,06069079-1
06521486-3,06069079-1
04456800-1,06069086-1
04933743-2,06069086-1
05081002-4,06069086-1
05515394-1,06069086-1
05786276-5,06069086-1
05801386-1,06069086-1
05843226-1,06069086-1
05851926-1,06069086-1
06069086-1,06069086-1
06069086-4,06069086-1
06074954-1,06069086-1
06265318-2,06069086-1
06270634-2,06069086-1
06322714-3,06069086-1
06423644-2,06069086-1
06559074-5,06069086-1
06583065-1,06069086-1
06583065-6,06069086-1
06583065-7,06069086-1
06638874-1,06069086-1
06638874-2,06069086-1
06692648-2,06069086-1
04933743-2,06069086-4
05843226-1,06069086-4
06069086-1,06069086-4
06069086-4,06069086-4
05256245-1,06069087-2
06069087-2,06069087-2
04819068-2,06069095-1
05420071-1,06069095-1
06069095-1,06069095-1
06467490-1,06069095-1
06803641-1,06069095-1
04824803-3,06069382-1
06069382-1,06069382-1
06773987-2,06069382-1
06933591-0,06069382-1
06963503-1,06069382-1
04068368-3,06069403-2
04635177-1,06069403-2
06069403-2,06069403-2
04306916-1,06069485-1
04709467-1,06069485-1
05339270-1,06069485-1
05598341-1,06069485-1
05614765-5,06069485-1
05763327-3,06069485-1
05866473-1,06069485-1
05879975-1,06069485-1
06069485-1,06069485-1
06225229-1,06069485-1
06229184-1,06069485-1
06306710-3,06069485-1
06423604-2,06069485-1
06069488-1,06069488-1
05581199-4,06069490-1
06069490-1,06069490-1
06069512-1,06069512-1
06069512-2,06069512-1
06069512-1,06069512-2
06069512-2,06069512-2
05467055-2,06069535-1
05486836-1,06069535-1
05657409-2,06069535-1
06069535-1,06069535-1
06356594-1,06069535-1
06617990-1,06069535-1
05007094-1,06069631-4
06043844-1,06069631-4
06069631-4,06069631-4
05933759-3,06069703-5
06069703-5,06069703-5
06927082-1,06069703-5
06069705-1,06069705-1
06069739-2,06069739-2
04933574-1,06069782-2
06069782-2,06069782-2
06069782-3,06069782-2
04933574-1,06069782-3
05017812-1,06069782-3
06069782-2,06069782-3
06069782-3,06069782-3
06069808-1,06069808-1
06069808-2,06069808-1
06069808-1,06069808-2
06069808-2,06069808-2
04201997-2,06069814-1
06069814-1,06069814-1
04583288-1,06069849-2
04872103-1,06069849-2
05169036-1,06069849-2
05220192-3,06069849-2
05598341-1,06069849-2
05627480-2,06069849-2
05673198-2,06069849-2
05789938-2,06069849-2
06069849-2,06069849-2
06219305-5,06069849-2
06239611-1,06069849-2
06376131-1,06069849-2
06466520-1,06069849-2
06466520-2,06069849-2
06507942-1,06069849-2
06594610-5,06069849-2
06594797-1,06069849-2
05751179-1,06069866-2
06069866-2,06069866-2
05822459-1,06069972-1
06069972-1,06069972-1
05866928-1,06070131-1
05935263-8,06070131-1
06047352-3,06070131-1
06070131-1,06070131-1
06070131-2,06070131-1
06070131-4,06070131-1
06181616-1,06070131-1
05935263-8,06070131-2
06047352-3,06070131-2
06070131-1,06070131-2
06070131-2,06070131-2
06070131-4,06070131-2
05935263-8,06070131-4
06047352-3,06070131-4
06070131-1,06070131-4
06070131-2,06070131-4
06070131-4,06070131-4
05497456-2,06070182-1
05513337-1,06070182-1
06070182-1,06070182-1
04583288-1,06070260-2
04851720-2,06070260-2
05550839-1,06070260-2
05661685-4,06070260-2
06070260-2,06070260-2
06218864-2,06070260-2
06288742-1,06070260-2
06662285-4,06070260-2
06772405-2,06070260-2
03933860-1,06070551-2
05083865-3,06070551-2
05178739-1,06070551-2
05201990-3,06070551-2
05260236-2,06070551-2
05292399-2,06070551-2
05308417-5,06070551-2
05707451-2,06070551-2
05761023-5,06070551-2
05811356-2,06070551-2
05837058-2,06070551-2
05861086-5,06070551-2
05983906-4,06070551-2
06013584-1,06070551-2
06070551-2,06070551-2
06070551-5,06070551-2
06143078-2,06070551-2
06143078-3,06070551-2
06211065-3,06070551-2
06410457-3,06070551-2
06413871-2,06070551-2
06413871-4,06070551-2
06440495-1,06070551-2
06440495-2,06070551-2
06475854-2,06070551-2
06475854-4,06070551-2
06479100-3,06070551-2
04289842-1,06070551-5
05292399-2,06070551-5
05308417-5,06070551-5
05761023-5,06070551-5
05776193-1,06070551-5
06070551-2,06070551-5
06070551-5,06070551-5
06143078-2,06070551-5
06143078-3,06070551-5
06143078-5,06070551-5
06245690-3,06070551-5
06436303-3,06070551-5
06447651-5,06070551-5
06511922-6,06070551-5
06596123-3,06070551-5
05731244-1,06071009-1
06071009-1,06071009-1
06071067-1,06071067-1
06071067-2,06071067-1
06071067-3,06071067-1
06441631-3,06071067-1
06455805-2,06071067-1
06071067-1,06071067-2
06071067-2,06071067-2
06071067-3,06071067-2
06071067-1,06071067-3
06071067-2,06071067-3
06071067-3,06071067-3
06441631-3,06071067-3
06455805-2,06071067-3
04874722-1,06071457-3
05644168-1,06071457-3
06071457-3,06071457-3
06071457-4,06071457-3
04874722-1,06071457-4
05644168-1,06071457-4
06071457-3,06071457-4
06071457-4,06071457-4
03996461-1,06071616-2
06071616-2,06071616-2
04846928-4,06071779-4
05019532-1,06071779-4
05576992-1,06071779-4
06071779-4,06071779-4
05140405-2,06072228-1
05729049-1,06072228-1
05879965-1,06072228-1
06072228-1,06072228-1
06885108-0,06072228-1
05914749-2,06072232-3
06020582-2,06072232-3
06072232-3,06072232-3
04626771-1,06072337-1
05585763-1,06072337-1
06072337-1,06072337-1
06307413-2,06072337-1
06366145-3,06072337-1
06366145-4,06072337-1
04336448-2,06072358-3
05121006-1,06072358-3
05369314-2,06072358-3
05483178-1,06072358-3
06072358-3,06072358-3
06072358-4,06072358-3
06072358-5,06072358-3
06122212-1,06072358-3
06323680-7,06072358-3
06774707-1,06072358-3
06927601-3,06072358-3
06927601-5,06072358-3
04336448-2,06072358-4
05121006-1,06072358-4
05369314-2,06072358-4
05483178-1,06072358-4
06072358-3,06072358-4
06072358-4,06072358-4
06072358-5,06072358-4
06323680-7,06072358-4
06774707-1,06072358-4
06927601-3,06072358-4
06927601-5,06072358-4
04336448-2,06072358-5
05163070-1,06072358-5
05369314-2,06072358-5
05483178-1,06072358-5
05638008-1,06072358-5
05767734-1,06072358-5
06072358-3,06072358-5
06072358-4,06072358-5
06072358-5,06072358-5
04044371-2,06072382-2
04088954-5,06072382-2
06072382-2,06072382-2
06462541-1,06072382-2
06713195-2,06072382-2
06743639-2,06072382-2
04899317-3,06072383-2
05049069-1,06072383-2
05909050-1,06072383-2
05955950-1,06072383-2
06072383-2,06072383-2
06424263-1,06072383-2
06963270-3,06072383-2
04958305-1,06072505-5
06044457-1,06072505-5
06044457-4,06072505-5
06072505-5,06072505-5
06072574-1,06072574-1
03882484-1,06072676-2
04806189-2,06072676-2
06072676-2,06072676-2
