Games	Sport	Event	Athlete(s)	CountryCode	CountryName	Medal	ResultInSeconds
2012	Canoeing	K4 1000m Kayak Fours Men	Josef DOSTAL, Daniel HAVEL, Jan STERBA, Lukas TREFIL	CZE	Czech Republic	Bronze	175.85
2012	Canoeing	K4 500m Kayak Fours Women	Katalin KOVACS, Danuta KOZAK, Gabriella Timea SZABO, Krisztina FAZEKAS	HUN	Hungary	Gold	90.83
2012	Canoeing	K4 500m Kayak Fours Women	Carolin Martina LEONHARDT, Katrin WAGNER-AUGUSTIN, Tina DIETZE, Franziska WEBER	GER	Germany	Silver	91.30
2012	Canoeing	K4 500m Kayak Fours Women	Maryna PAUTARAN, Volha KHUDZENKA, Nadzeya PAPOK, Iryna PAMIALOVA	BLR	Belarus	Bronze	91.40
2012	Rowing	Coxless Fours Men	Tom JAMES, Andrew TRIGGS HODGE, Pete REED, Alex GREGORY	GBR	Great Britain	Gold	363.97
2012	Rowing	Coxless Fours Men	Drew GINN, James CHAPMAN, Joshua DUNKLEY-SMITH, William LOCKWOOD	AUS	Australia	Silver	365.19
2012	Rowing	Coxless Fours Men	Scott GAULT, Charles COLE, Glenn OCHAL, Henrik RUMMEL	USA	United States of America	Bronze	367.20
2012	Rowing	Coxless Pairs Men	Eric MURRAY, Hamish BOND	NZL	New Zealand	Gold	376.65
2012	Rowing	Coxless Pairs Men	Germain CHARDIN, Dorian MORTELETTE	FRA	France	Silver	381.11
2012	Rowing	Coxless Pairs Men	George NASH, William SATCH	GBR	Great Britain	Bronze	381.77
2012	Rowing	Coxless Pairs Women	Heather STANNING, Helen GLOVER	GBR	Great Britain	Gold	447.13
2012	Rowing	Coxless Pairs Women	Sarah OUTHWAITE, Kate HORNSEY	AUS	Australia	Silver	449.86
2012	Rowing	Coxless Pairs Women	Juliette HAIGH, Rebecca SCOWN	NZL	New Zealand	Bronze	450.19
2012	Rowing	Double Sculls Men	Nathan COHEN, Joseph SULLIVAN	NZL	New Zealand	Gold	391.67
2012	Rowing	Double Sculls Men	Alessio SARTORI, Romano BATTISTI	ITA	Italy	Silver	392.80
2012	Rowing	Double Sculls Men	Iztok COP, Luka SPIK	SLO	Slovenia	Bronze	394.35
2012	Rowing	Double Sculls Women	Katherine GRAINGER, Anna WATKINS	GBR	Great Britain	Gold	415.82
2012	Rowing	Double Sculls Women	Kim CROW, Brooke PRATLEY	AUS	Australia	Silver	418.55
