Athlete	CountryCode	Medals
anna pfeffer, katalin rozsny?i	HUN	1
anna seaton, stephanie maxwell-pierson	USA	1
ann curtis	USA	2
annegret richter	FRG	2
annelie ehrhardt	GDR	1
annelies bredael	BEL	1
anne marden	USA	1
annemarie cox, annemiek derckx	NED	1
annemarie verstappen	NED	2
annemiek de haan, hurnet dekkers, nienke hommes, esther worhel, froukje wegman, annemarieke van rumpt, marlies smulders, helen tanger, sarah siegelaar	NED	1
annemiek derckx	NED	1
anne ottenbrite	CAN	2
anne poleska	GER	1
annie vernon, debbie flood, katherine grainger, frances houghton	GBR	1
anni holdmann, leni junker, rosa kellner, leni schmidt	GER	1
ann jardin, wendy hogg, robin corsiglia, susan sloan	CAN	1
ann packer	GBR	2
antal kiss	HUN	1
antal r?ka	HUN	1
antanas mikenas	URS	1
anthony edwards, ben cureton, simon burgess, glen loftus	AUS	1
anthony edwards, bruce hick	AUS	1
anthony ervin	USA	1
anthony mosse	NZL	1
anthony nesty	SUR	2
antje buschschulte	GER	1
antje buschschulte, kerstin kielga?, sara harstick, franziska van almsick	GER	1
antje buschschulte, meike freitag, simone osygus, sandra v?lker, franziska van almsick	GER	1
antoaneta frenkeva	BUL	2
antoine richard, hermann panzo, pascal barr?, patrick barr?	FRA	1
antonel borsan, marcel glavan	ROM	1
antonina melnikova	URS	1
antonina seredina	URS	1
antonina seredina, lyudmila pinayeva-khvedosyuk	URS	1
antonina seredina, mariya shubina	URS	1
antonio leit?o	POR	1
antonio mckay	USA	1
antonio pettigrew, alvin harrison, calvin harrison, michael johnson	USA	1
antonio rossi	ITA	1
antonio rossi, beniamino bonomi	ITA	2
antonio rossi, bruno dreossi	ITA	1
antonio scaduto, andrea facchin	ITA	1
antti kasvio	FIN	1
archibald mckinnon, lorne loomer, donald arnold, ignace d'hondt	CAN	1
archie hahn	USA	3
archie williams	USA	1
ardalion ignatyev	URS	1
aries merritt	USA	1
arkady vyatchanin	RUS	2
armas toivonen	FIN	1
armin hary	GER	1
arne bergodd, rolf andreassen, ole nafstad, finn tveter	NOR	1
arne borg	SWE	4
arne borg, ?ke borg, georg werner, orvar trolle	SWE	1
arne nielsson, christian wig?	DEN	1
arno bieberstein	DEU	1
arnold jackson	GBR	1
arnold jonke, christoph zerbst	AUT	1
arsen miskarov	URS	2
arthur ayrault, john sayre, ted nash, rusty wailes	USA	1
arthur barnard	USA	1
arthur blake	USA	1
arthur jonath	GER	1
arthur newton	USA	2
arthur porritt	NZL	1
arthur schwab	SUI	1
arthur shaw	USA	1
arthur wint	JAM	3
arto bryggare	FIN	1
artur svensson, gustav weijnarth, nils engdahl, erik byl?hn	SWE	1
artur wojdat	POL	1
arvidas juozaitis	URS	1
arvo aaltonen	FIN	1
arvo askola	FIN	1
arvo ojanper?	FIN	1
