Athlete	CountryCode	Medals
ivan patzaichin	ROM	1
ivan patzaichin, petre capusta	ROM	1
ivan patzaichin, serghei covaliov	ROM	1
ivan patzaichin, toma simionov	ROM	3
ivan riley	USA	1
ivan shtyl	RUS	1
ivans klementjevs	LAT	2
ivans klementjevs	URS	1
ivar stukolkin	URS	1
ivar stukolkin, vladimir salnikov, andrey krylov, sergey koplyakov	URS	1
ivo van damme	BEL	2
ivo yanakiev	BUL	1
izabella dylewska	POL	2
iztok cop, denis zvegelj	SLO	1
iztok cop, luka spik	SLO	3
jaap kraaier	NED	1
jack babashoff	USA	1
jack beresford	GBR	2
jack beresford, dick southwood	GBR	1
jack davis	USA	2
jack dearlove, chris barton, ernest bircher, maurice lapage, guy richardson, charles lloyd, paul massey, alfred mellows, david meyrick	GBR	1
jack guest, joseph wright	CAN	1
jack hand, john donnelly, frank fiddes, frederick hedges, jack murdock, athol meech, cyril norris, william ross, herbert richardson	CAN	1
jack horsley	USA	1
jack jarvis	GBR	2
jack kelly	USA	1
jack kelly, paul costello	USA	2
jack london	GBR	1
jack lovelock	NZL	1
jack medica	USA	2
jack pierce	USA	1
jackson scholz	USA	2
jack taylor	USA	1
jacob clear, david smith, tate smith, murray stewart	AUS	1
jacob jensen, ejvind hansen	DEN	1
jake wetzel, barney williams, cameron baerg, thomas herschmiller	CAN	1
james ball	CAN	1
james cristy	USA	1
james gathers	USA	1
james godday, musa audu, saul weigopwa, enefiok udo-obong	NGR	1
james juvenal	USA	1
james lightbody	USA	5
james luvalle	USA	1
james magnussen	AUS	1
james mcintosh, arthur mckinlay, john mckinlay, john welchli	USA	1
james mclane	USA	2
james rector	USA	1
james soutter, cyril seedhouse, george nicol, ernest henley	GBR	1
james thompson, john smith, sizwe ndlovu, matthew brittain	RSA	1
james thompson, walter spence, garnet ault, frederik bourne	CAN	1
james tomkins, drew ginn	AUS	1
james wendell	USA	1
james wilson	GBR	1
jana henke	GER	1
jana sorgers, katrin rutschow-stomporowski, kathrin boron, kerstin k?ppen	GER	1
jana thieme, kathrin boron	GER	1
jan brz?k-felix, bohumil kudrna	CZE	2
jan brz?k-felix, vladim?r syrov?tka	CZE	1
jane barkman	USA	1
jane cederqvist	SWE	1
janeene vickers	USA	1
janel jorgensen, beth barr, tracey mcfarlane, mary wayte	USA	1
jane saville	AUS	1
jane swagerty	USA	1
janet evans	USA	5
janeth busienei	KEN	1
jan henne	USA	3
janice andrew	AUS	1
janice andrew, dawn fraser, marilyn wilson, rosemary lassig	AUS	1
jani sievinen	FIN	1
janusz kusocieski	POL	1
janusz mikolajczak, henryk budzinski	POL	1
jaouad gharib	MAR	1
jared tallent	AUS	3
jarmila kratochv?lov?	CZE	1
jason lezak	USA	1
jason lezak, gary hall jr., anthony ervin, josh davis, neil walker, scott tucker	USA	1
jason lezak, michael phelps, nathan adrian, matt grevers, cullen jones, benjamin wildman-tobriner, garrett weber-gale	USA	1
jason read, bryan volpenhein, chris ahrens, wyatt allen, dan beery, pete cipollone, matt deakin, joseph hansen, beau hoopman	USA	1
jason richardson	USA	1
javier culson	PUR	1
jean boiteux	FRA	1
jean bouin	FRA	1
jean-christophe rolland, michel andrieux	FRA	1
jeannette campbell	ARG	1
jean stewart	NZL	1
jean taris	FRA	1
jearl miles, marion jones, monique hennagan, latasha colander-richardson	USA	1
jearl miles, natasha kaiser, rochelle stevens, gwen torrence	USA	1
jed graef	USA	1
jefferson perez	ECU	1
jefferson p?rez	ECU	1
jeff rouse	USA	2
jelisaveta dementyeva	URS	1
jenna johnson	USA	1
jennie fletcher	GBR	1
jennie fletcher, isabella moore, annie speirs, irene steer	GBR	1
jennifer lamy	AUS	1
jennifer stoute, phylis smith, sandra douglas, sally gunnell	GBR	1
jenny maakal	SAF	1
jenny thompson	USA	1
jenny thompson, amanda weir, kara lynn joyce, tara kirk, natalie coughlin, haley cope, amanda beard, rachel komisarz	USA	1
jens kruppa, stev theloke, torsten spanneberg, thomas rupprath	GER	1
jens-peter herold	GDR	1
jeremy linn	USA	1
jeremy wariner	USA	2
jeremy wariner, angella taylor, reggie witherspoon, kerron clement, dave neville, lashawn merritt	USA	1
jerry heidenreich	USA	2
jerry heidenreich, david edgar, john murphy, mark spitz	USA	1
jerzy ustupski, roger verey	POL	1
jesse mashburn, tom courtney, lou jones, charles jenkins	USA	1
jesse owens	USA	2
jessica hardy, allison schmitt, missy franklin, lia neal	USA	1
jessicah schipper	AUS	2
jessica monroe, heather mcdermid, maria maunder, emma robinson, lesley thompson, tosha tsang, anna van der kamp, theresa luke, alison korn	CAN	1
jessica monroe, marnie mcbean, brenda taylor, lesley thompson, kay worthington, kathleen heddle, megan delehanty, shannon crawford, kirsten barnes	CAN	1
jevgenij shuklin	LTU	1
jiao liuyang	CHN	1
ji li, jiaying pang, yu yang, yanwei xu, yingwen zhu	CHN	1
jill sterkel	USA	1
jill sterkel, wendy boglioli, shirley babashoff, kim peyton	USA	1
jim fifer, duvall hecht	USA	1
jim hines	USA	1
jim montgomery	USA	2
jimmy tremeer	GBR	1
jim ryun	USA	1
jingyi le	CHN	2
jingyi le, yun nian, ying shan, na chao	CHN	1
j?nis dalins	LAT	1
j?nos parti	HUN	2
joachim b?chner	GER	1
joachim b?hmer, hans-ullrich schmied	GDR	1
joachim dreifke	GDR	1
joachim ehrig, peter funnek?tter, franz held, wolfgang plottke	FRG	1
joachim mattern, bernd olbricht	GDR	1
joachim pirsch, willi kaidel	GER	1
joan benoit	USA	1
joan harrison	SAF	1
joanna hayes	USA	1
joanne jackson	GBR	1
joaquim cruz	BRA	2
jocelyn delecour, paul genevay, bernard laidebeur, claude piquemal	FRA	1
jochen mei?ner	FRG	1
jochen reske, manfred kinder, johannes kaiser, carl kaufmann	GER	1
jodie henry	AUS	1
jodie henry, sarah ryan, petria thomas, lisbeth lenton, alice mills	AUS	1
joe deloach	USA	1
joe forshaw	USA	1
joe hudepohl, douglas gjertsen, scott jaffe, daniel jorgensen, melvin stewart, jon olsen	USA	1
joel lamela, andr?s sim?n, joel isasi, jorge aguilera	CUB	1
joel sanchez	MEX	1
joel shankle	USA	1
johan andersen	DEN	1
johan kenkhuis, pieter van den hoogenband, marcel wouda, mark van der zijden, martijn zuijdweg	NED	1
johanna klier-schaller	GDR	2
johannes drost	NED	1
johannes van dijk, henrikus tromp, hendrik offerhaus, walter middelberg, walter thijssen, ruud leegstra, roelof klein, hermanus brockmann, fran?oise brandt	NED	1
john akii-bua	UGA	1
john archer, john gregory, kenneth jones, alistair mccorquodale	GBR	1
john bray	USA	1
john campbell, sebastian earl, robin johnstone, richard lucas, walter james, ewart horsfall, ralph shove, guy nickalls, sidney swann	GBR	1
john carlos	USA	1
john collier	USA	1
john cooper	GBR	1
john cooper, robbie brightwell, timothy graham, adrian metcalfe	GBR	1
john cornes	GBR	1
john cregan	USA	1
john daly	GBR	1
john davies	AUS	1
john davies	NZL	1
john devitt	AUS	2
john disley	GBR	1
john fenning, gordon thomson	GBR	1
john ferris	USA	2
john garrels	USA	1
john hatfield	GBR	2
john hatfield, william foster, thomas battersby, henry taylor	GBR	1
john hayes	USA	1
john hencken	USA	4
john hencken, jim montgomery, john naber, matt vogel	USA	1
john hoben, james mcloughlin, john wells, joseph ravanack	USA	1
john holland	NZL	1
john hunter, tony hurt, dick joyce, trevor coker, simon dickie, athol earl, gary robertson, wybo veldman, lindsay wilson	NZL	1
john kelly	USA	1
john kinsella	USA	1
john konrads	AUS	2
john konrads, john devitt, david dickson, murray rose	AUS	1
john landy	AUS	1
john lecky, lorne loomer, william mckerlich, archibald mckinnon, glen mervyn, nelson kuhn, ignace d'hondt, sohen biln, donald arnold	CAN	1
john ljunggren	SWE	3
john loaring	CAN	1
john marshall	AUS	2
john mcgough	GBR	1
john mclean	USA	1
john mockton, doug hamilton, bruce ford, mike hughes	CAN	1
john monckton	AUS	1
john mulcahy, william varley, john joachim, john buerger	USA	1
john murphy	USA	1
john mykkanen	USA	1
john naber	USA	3
john naber, jim montgomery, bruce furniss, mike bruner	USA	1
john nelson	USA	2
john ngugi	KEN	1
john norton	USA	1
johnny gray	USA	1
johnny weissmuller	USA	3
johnny weissmuller, walter laufer, george kojac, austin clapp	USA	1
john russell, ted nash, john james, william barry, hugh wardell-yerburgh	GBR	1
john schmitt, paul mcdowell	USA	1
john sherwood	GBR	1
john smith, warren snyder, norman taylor, harold little, arthur bell, ivor campbell, william langford, robert hunter, william wallace	CAN	1
john somers-smith, angus gillan, duncan mackinnon, collier cudmore	GBR	1
john s?rensen, peer nielsen	DEN	1
john sumegi	AUS	1
john svanberg	SWE	1
john terwilliger, andrew sudduth, christopher penny, walter lubsen, robert jaugstetter, charles clapp, thomas darling, earl borchelt, bruce ibbetson	USA	1
john treacy	IRL	1
john walker	NZL	1
john wallace, bruce robertson, michael rascher, derek porter, terrence paul, robert marland, mike forgeron, andrew crosby, darren barber	CAN	1
john wood	CAN	1
john woodruff	USA	1
jolanda ceplak	SLO	1
jolanda de rover	NED	2
jo?l bettin, philippe renaud	FRA	1
jonathan smith, philip stekl, alan forney, david clark	USA	1
jon drummond, maurice greene, brian lewis, bernard williams iii	USA	1
jon drummond, tim harden, mike marsh, dennis mitchell	USA	1
jon henricks	AUS	1
jon olsen, brad schumacher, joe hudepohl, josh davis, ryan berube	USA	1
jon olsen, matt biondi, joe hudepohl, thomas jager, shaun jordan	USA	1
jon olsen, pablo morales, melvin stewart, melvin stewart, jeff rouse, nelson diebel, hans dersch, hans dersch, david berkoff, david berkoff, matt biondi, matt biondi	USA	1
jon sieben	AUS	1
jopie selbach, tini wagner, willie den ouden, rie mastenbroek	NED	1
jorge llopart	ESP	1
jos? abascal	ESP	1
josefa idem	ITA	1
josefa idem, barbara sch?ttpelz	FRG	1
josefa idem guerrini	ITA	3
josef dolezal	CZE	1
josef dostal, daniel havel, jan sterba, lukas trefil	CZE	1
josef hasen?hrl	AUT	1
josef holecek	CZE	2
josef kloimstein, alfred sageder	AUT	1
josef odlozil	CZE	1
josef schneider	SUI	1
joseph bottom	USA	1
joseph de combe	BEL	1
joseph guillemot	FRA	2
josephine mckim	USA	1
joseph keter	KEN	1
joseph larran	FRA	1
joseph mahmoud	FRA	1
joseph mccluskey	USA	1
joseph ryan, robert farnam	USA	1
joseph verdeur	USA	1
josh culbreath	USA	1
josia thugwane	RSA	1
jos? l?pez, herminio men?ndez, luis miguez, jos? esteban	ESP	1
jos? pedraza	MEX	1
josy barthel	LUX	1
joyce chepchumba	KEN	1
joyce cooper	GBR	2
jozef pribilinec	CZE	1
j?rgen bertow, hans-ullrich schmied	GDR	1
j?rgen eschert	GER	1
j?rgen straub	GDR	1
j?rg hoffmann	GER	1
j?rg lucke, heinz-j?rgen bothe	GDR	1
j?rg pfeifer, alexander thieme, manfred kokot, klaus-dieter kurrat	GDR	1
j?rg schmidt	GDR	1
j?rg woithe	GDR	1
j?ri jaanson	EST	1
j?ri lossmann	EST	1
juan carlos zabala	ARG	1
juan rodriguez, william jones	URU	1
judi brown	USA	1
judith amoore	AUS	1
judit temes	HUN	1
judy davies	AUS	1
judy grinham	GBR	1
judy playfair, lynette mcclements, janet steinbeck, lynette watson	AUS	1
jules de bisschop, oscar decock, prosp?re bruggeman, maurice hemelsoet, oscar charles de somville, frank odberg, marcel lucien van crombrugge, alfred vanlandeghem, maurice verdonck	BEL	1
jules ladoum?gue	FRA	1
julia greville, emma johnson, susan o'neill, lise mackie, nicole stevenson	AUS	1
julia michalska, magdalena fularczyk	POL	1
julie mcdonald	AUS	1
juliet cuthbert	JAM	2
juliet cuthbert, michelle freeman, nikole mitchell, merlene ottey-page	JAM	1
juliette haigh, rebecca scown	NZL	1
julius kariuki	KEN	1
julius korir	KEN	1
julius sang	KEN	1
june croft	GBR	1
june croft, ann osgerby, margaret kelly, helen jameson	GBR	1
june foulds-paul, jean desforges, sylvia cheeseman, heather armitage	GBR	1
june maston, betty mckinnon, joyce king, shirley strickland	AUS	1
junxia wang	CHN	2
juraj tarr, michal riszdorfer, richard riszdorfer, erik vlcek	SLO	1
juris silovs, aleksandr kornelyuk, vladimir lovetsky, valery borzov	URS	1
justin gatlin	USA	3
justin lemberg	AUS	1
justin norris	AUS	1
justus smith, john stack, ralph purchase, david turner, ian turner, james hardy, george ahlgren, david brown, lloyd butler	USA	1
jutta behrendt	GDR	1
jutta heine	GER	1
j?zsef deme, j?nos r?tkai	HUN	1
j?zsef kov?cs	HUN	1
j?zsef szab?	HUN	1
kaarlo maaninka	FIN	2
kaitlin sandeno	USA	3
kajetan broniewski	POL	1
kalle tuominen	FIN	1
karel lismont	BEL	2
karen harup	DEN	2
karen hoff	DEN	1
karen moe	USA	1
karen moras	AUS	1
karen phillips	AUS	1
karin balzer	GDR	1
karin nilsson, emy machnow, jane gylling, aina berg	SWE	1
karin seick	FRG	1
karl-friedrich haas	GER	1
karl-heinrich von groddeck, hans-j?rgen wallbrecht, klaus aeffke, thomas ahrens, klaus behrens, klaus bittner, j?rgen schroeder, j?rgen plagemann, horst meyer	GER	1
karl-heinrich von groddeck, klaus bittner, karl-heinz hopp, hans lenk, willi padge, frank schepke, kraft schepke, manfred rulffs, walter schr?der	GER	1
karl ruberl	AUT	2
karl warner, bill carr, edgar ablowich, ivan fuqua	USA	1
karsten forsterling, james mcrae, daniel noonan, christopher morgan	AUS	1
katalin kovacs, danuta kozak, gabriella timea szabo, krisztina fazekas	HUN	1
katalin kovacs, natasa janic	HUN	1
katalin sz?ke	HUN	1
katharine merry	GBR	1
katherine copeland, sophie hosking	GBR	1
katherine grainger, anna watkins	GBR	1
katherine grainger, guin batten, miriam batten, gillian lindsay	GBR	1
kathleen ellis	USA	2
kathleen heddle, marnie mcbean	CAN	1
kathleen nord	GDR	1
kathrin boron, manuela lutze, britta oppelt, stephanie schiller	GER	1
kathrin d?rre	GDR	1
kathrin mei?ner	GDR	1
kathrin zimmermann	GDR	1
kathryn smallwood-cook	GBR	1
kathryn smallwood-cook, simmone jacobs, beverley goddard-callender, heather hunte	GBR	1
kathy hammond	USA	1
katie hoff	USA	2
katie ledecky	USA	1
katrin borchert	AUS	1
katrin borchert, anna wood	AUS	1
katrin borchert, birgit fischer, anke nothnagel-von seck, ramona portwich	GER	1
katrin rutschow-stomporowski	GER	2
katrin wagner	GER	1
katsuo takaishi	JPN	1
kay bluhm, torsten gutsche	GER	3
kaye hall	USA	2
kazimierz zimny	POL	1
kazuo tomita, keigo shimizu, yoshihiko osaki, koichi hirakida	JPN	1
kee-chung sohn	JPN	1
keena rothhammer	USA	2
keith carter	USA	1
kellie wells	USA	1
kelly holmes	GBR	3
kelvin graham, peter foster	AUS	1
kelvin graham, ramon andersson, ian rowling, steven wood	AUS	1
kenenisa bekele	ETH	4
ken huszagh	USA	1
kenji kimihara	JPN	1
ken matthews	GBR	1
kennedy mcarthur	SAF	1
kenneth myers	USA	1
kenneth walsh	USA	1
kentaro kawatsu	JPN	1
ken wallace	AUS	2
kerron clement	USA	1
kerron stewart	JAM	2
kerstin behrendt, marlies g?hr-oelsner, ingrid lange-auerswald, silke m?ller-gladisch	GDR	1
kerstin kielga?	GER	1
kerstin k?ppen, kathrin boron	GER	1
kerstin m?ller, kristina mundt, birgit peter, sybille schmidt	GER	1
kevan gosper, leon gregory, david lean, graham gipson	AUS	1
kevin berry	AUS	1
kevin young	USA	1
khalid boulami	MAR	1
khalid skah	MAR	1
kharis yunichev	URS	1
kieren perkins	AUS	4
kiki caron	FRA	1
kim batten	USA	1
kim crow	AUS	1
kim crow, brooke pratley	AUS	1
kim gallagher	USA	2
kim knudsen, rene poulsen	DEN	1
kim turner	USA	1
kim vandenberg, julia smit, allison schmitt, christine marshall, katie hoff, caroline burckle, natalie coughlin	USA	1
kinue hitomi	JPN	1
kipchoge keino	KEN	4
kipkemboi kimeli	KEN	1
kirani james	GRN	1
kirk baptiste	USA	1
kirsten emmelmann, sabine busch, petra m?ller, dagmar neubauer-r?bsam	GDR	1
kirsten thomson, jacinta van lint, elka graham, petria thomas, susan o'neill, giaan rooney	AUS	1
kirsten van der kolk, marit van eupen	NED	2
kirsten vlieghuis	NED	2
kirsty conventry	ZIM	3
kirsty coventry	ZIM	4
kjersti plaetzer	NOR	1
kjersti platzer	NOR	1
kjetil undset, steffen st?rseth	NOR	1
klaus ehl, jobst hirscht, karlheinz klotz, gerhard wucherer	FRG	1
klaus kr?ppelien, joachim dreifke	GDR	1
klaus-peter hildenbrand	FRG	1
klaus richtzenhain	GER	1
klaus thiele, frank schaffer, volker beck, andreas knebel	GDR	1
klemie bimolt, ada kok, erica terpstra, korrie winkel	NED	1
klete keller	USA	2
kl?ra rajnai	HUN	1
kl?ra rajnai, anna pfeffer	HUN	1
knut holmann	NOR	6
knut lindberg, charles luther, ivan m?ller, ture persson	SWE	1
koichi morishita	JPN	1
kokichi tsuburaya	JPN	1
konrad wasielewski, michal jelinski, marek kolbowicz, adam korol	POL	1
konstantinos kenteris	GRE	1
kornelia ender	GDR	4
kosuke hagino	JPN	1
kosuke kitajima	JPN	4
kosuke kitajima, takeshi matsuda, takuro fujii, ryosuke irie	JPN	1
kriss akabusi	GBR	1
kriss akabusi, todd bennett, phil brown, garry cook	GBR	1
kristian hellstr?m	SWE	1
kristina mundt, beate schramm, jana sorgers, kerstin f?rster	GDR	1
kristin otto	GDR	4
kristoffer leps?, thor pedersen, leif n?ss, carl henrik monssen, sigurd monssen, harald kr?kenes, thorstein kr?kenes, hans eigil hansen, halfdan gran olsen	NOR	1
kristy kowal	USA	1
krisztian bartfai, krisztian vereb	HUN	1
krisztina egerszegi	HUN	7
k?roly bartha	HUN	1
k?roly g?ttler	HUN	2
k?roly levitzky	HUN	1
kruska larsen	NOR	1
k?the krau?	GER	1
kurt grote, josh davis, mark henderson, gary hall jr., john hargis, jeremy linn, jeff rouse, tripp schwenk	USA	1
kurt malisch	DEU	1
kurt moeschter, bruno m?ller	GER	1
kusuo kitamura	JPN	1
kyoko iwasaki	JPN	1
lacey hearn	USA	1
laimute baikauskaite	URS	1
lajos kiss	HUN	1
lalka berberova, radka stoyanova	BUL	1
lalonde gordon	TTO	1
lalonde gordon, deon lendore, jarrin solomon, ade alleyne-forte	TTO	1
lance larson	USA	1
larion serghei, policarp malihin	ROM	1
larisa kruglova, irina khabarova, olga fyodorova, yuliya tabakova	RUS	1
larisa merk, oxana dorodnova, irina fedotova, ioulia levina	RUS	1
larry black	USA	1
larry cain	CAN	2
larry james	USA	1
larry young	USA	2
lars bj?nness, rolf thorsen, kjetil undset, per s?tersdal	NOR	1
larsen jensen	USA	2
lars-erik moberg	SWE	1
lars-erik moberg, per-inge bengtsson	SWE	1
lars fr?lander	SWE	1
lars fr?lander, anders holmertz, anders lyrbring, christer wallin	SWE	1
lars kober, stefan utess	GER	1
lars wolfbrandt, kurt lundqvist, rune larsson, folke alnevik	SWE	1
lashawn merritt	USA	1
lashinda demus	USA	1
lasse vir?n	FIN	4
laszlo cseh	HUN	5
laurel korholz, samantha magee, anna mickelson, lianne nelson, mary whipple, megan dirkmaat, kate johnson, caryn davies, alison cox	USA	1
laure manaudou	FRA	3
lauri lehtinen	FIN	2
lauri nevalainen, oiva lommi, veikko lommi, kauko wahlsten	FIN	1
lauri siering, camille wright, shirley babashoff, linda jezek	USA	1
lauri virtanen	FIN	2
lauryn williams	USA	1
lavonna martin	USA	1
lea loveless	USA	1
leamon king, thane baker, bobby morrow, ira murchison	USA	1
ledys frank balceiro	CUB	1
lee calhoun	USA	2
lee evans	USA	1
lee evans, ron freeman, larry james, vincent matthews	USA	1
leendert van dis, henricus droog	NED	1
leisel jones	AUS	5
leisel jones, alicia coutts, melanie schlanger, emily seebohm	AUS	1
leni lohmar, gisela arendt, ruth halbsguth, inge schmitz	GER	1
lennart strand	SWE	1
lennox miller	JAM	2
lenny krayzelburg	USA	2
lenore kight-wingard	USA	2
leobaldo pereira, ibrahim rojas	CUB	1
leonel manzano	USA	1
leonid bartenev, yuri konovalov, gusman kosanov, edvins ozolins	URS	1
leonid geyshtor, sergey makarenko	URS	1
leonid ilyichov, vladimir kosinsky, vladimir nemshilov	URS	1
leonid spirin	URS	1
leon rotman	ROM	2
les carney	USA	1
lesley ashburner	USA	1
leslie cliff	CAN	1
leslie rich, harry hebner, leo goodwin, charles daniels	USA	1
leszek dunecki, zenon licznerski, marian woronin, krzysztof zwoliwski	POL	1
lewis clive, hugh edwards	GBR	1
lewis tewanima	USA	1
liam heath, jon schofield	GBR	1
libby trickett	AUS	2
lida van der anker-doedens	NED	1
lidia simon	ROM	1
liliana gafencu, elena georgescu, vera cochelea, doina ignat, elisabeta lipa, anca tanase, doina spircu, marioara popescu, ioana olteanu	ROM	1
li lin	CHN	4
liliya nurutdinova	URS	1
lillian board	GBR	1
limin liu	CHN	1
lina kaciusyte	URS	1
lina radke	GER	1
linda gustavson	USA	2
linda mackenzie, melanie schlanger, stephanie rice, kylie palmer, lara davenport, angie bainbridge, bronte barratt, felicity galvez	AUS	1
lindsay burns, teresa bell	USA	1
lindsay wilson, ivan sutherland, dave rodger, alex mclean, trevor coker, simon dickie, peter dignan, athol earl, tony hurt	NZL	1
lindy remigino	USA	1
linford christie	GBR	2
linsey macdonald, michelle probert, joslyn hoyte-smith, donna-marie hartley	GBR	1
liping wang	CHN	1
lisa carrington	NZL	1
lisa jacob, trina jackson, sheila taormina, cristina teuscher, annette salmeen, ashley whitney, jenny thompson	USA	1
lisa martin	AUS	1
lisbeth lenton	AUS	1
liuyang jiao	CHN	1
liu zige	CHN	1
livio berruti	ITA	1
llewellyn herbert	RSA	1
lloyd labeach	PAN	2
lord david burghley	GBR	1
lord david burghley, thomas hampson, godfrey rampling, crew stoneley	GBR	1
lorenzo carboncini, riccardo deirossi, valter molea, carlo mornati	ITA	1
lori melien, andrea nugent, jane kerr, allison higson	CAN	1
lorraine crapp	AUS	2
lorraine graham	JAM	1
lorraine moller	NZL	1
lothar kn?rzer, heinz f?tterer, manfred germar, leo pohl	GER	1
lotte friis	DEN	1
lotte m?he	GER	1
louis clarke, frank hussey, alfred leconey, loren murchison	USA	1
louise j?hncke, anna-karin kammerling, josefin lillhage, therese alshammar, malin svahnstrom, johanna sj?berg	SWE	1
louis gantois	FRA	1
l?szl? folt?n, istv?n vaskuti	HUN	1
luca sacchi	ITA	1
lucy morton	GBR	1
lucyna langer	POL	1
ludmila engquist	SWE	1
ludy langer	USA	1
luguelin santos	DOM	1
luigi beccali	KIT	2
luis las?rtegui, fernando climent	ESP	1
lutz altepost, norman brockl, bjorn hogel goldschmidt, torsten eckbrett	GER	1
lutz ulbricht, niko ott, horst meyer, j?rg siebert, g?nther tiersch, dirk schreyer, r?diger henning, egbert hirschfelder, wolfgang hottenrott	FRG	1
lyndon ferns, roland schoeman, ryk neethling, darian townsend	RSA	1
lyndsie fogarty, hannah davis, chantal meek, lisa oldenhof	AUS	1
lynette mcclements	AUS	1
lynn burke	USA	1
lynn colella	USA	1
lynn jennings	USA	1
lynn vidali	USA	2
lyubomir lyubenov	BUL	2
lyubomir petrov, ivo rusev, mincho nikolov, bogdan dobrev	BUL	1
lyubov rusanova	URS	2
lyudmila bragina	URS	1
lyudmila dzhigalova, olga bryzgina, yelena ruzina, olga nazarova	URS	1
lyudmila kondratyeva	URS	1
lyudmila maslakova, natalya bochina, vera anisimova, vera komisova	URS	1
lyudmila pinayeva-khvedosyuk	URS	2
lyudmila pinayeva-khvedosyuk, yekaterina kuryshko	URS	1
lyudmila rogachova	URS	1
lyudmila shevtsova	URS	1
mable fergerson, kathy hammond, cheryl toussaint, madeline manning-jackson	USA	1
maciej freimut, wojciech krupiewski	POL	1
mack robinson	USA	1
madeline manning-jackson	USA	1
mads kruse andersen, morten j?rgensen, eskild ebbesen, thomas ebert	DEN	1
mads rasumussen, rasmus hansen	DEN	1
magdalena stoyanova georgieva	BUL	1
mahe drysdale	NZL	2
mahiedine mekhissibenabbad	FRA	1
mahiedine mekhissi-benabbad	FRA	1
maike nollen, carolin leonhardt, birgit fischer, katrin wagner	GER	1
mai nakamura	JPN	1
maiola kalili, manuella kalili, george fissler, frank booth	USA	1
makoto fukui, kunihiro iwasaki, toshio shoji, yukiaki okabe	JPN	1
malcolm carmichael, charles wiggin	GBR	1
malcolm spence	SAF	1
malia metella	FRA	1
mal whitfield	USA	3
mal whitfield, arthur harnden, roy cochran, clifford bourland	USA	1
mamo wolde	ETH	3
manfred kinder, martin jellinghaus, gerhard hennige, helmar m?ller	FRG	1
manfred klein, armin eichholz, thomas domian, ansgar wessling, eckhardt schultz, bahne rabe, wolfgang maennig, matthias mellinghaus, thomas m?llenkamp	FRG	1
manuela lutze, manja kowalski, kerstin el qalqili-kowalski, meike evers	GER	1
manuela lutze, meike evers, kerstin el qalqili-kowalski, kathrin boron	GER	1
manuela stellmach	GDR	1
manuel dos santos	BRA	1
manuel plaza reyes	CHI	1
marc bouissou, roger gautier, jacques guissart, pierre blondiaux	FRA	1
marc burns, keston bledman, emmanuel callender, richard thompson	TTO	1
marc detton, jean-pierre stock	FRA	1
marcel hacker	GER	1
marcel hansenne	FRA	1
marcia jones	USA	1
marc weber, roland baar, detlef kirchhoff, mark kleinschmidt, wolfram huhn, frank richter, ulrich viefers, thorsten streppelhoff, peter thiede	GER	1
marek dopierala, marek lbik	POL	1
marek lbik, marek dopierala	POL	1
marek witkowski, adam seroczynski, grzegorz kotowicz, dariusz bialkowski	POL	1
margaret bailes, barbara ferrell, wyomia tyus, mildrette netter	USA	1
margarete adler, klara milch, josephine sticker, berta zahourek	AUT	1
margaret edwards	GBR	1
margaret hoelzer	USA	2
margot marsman, marie-louise linssen-vaessen, irma heijting-schuhmacher, hanny termeulen	NED	1
maria braun	NED	2
maria cioncan	ROM	1
maria gommers	NED	1
maria mutola	MOZ	2
mariana limbau, elena radu, raluca andreea ionita, sanda toma	ROM	1
marianne heemskerk	NED	1
marianne kriel	RSA	1
marianne limpert	CAN	1
maria teresa ramirez	MEX	1
maria vasco	ESP	1
maricica puica	ROM	1
marie baron	NED	1
mariechen wehselau	USA	1
marie delattre, anne-laure viard	FRA	1
marie-jos? p?rec	FRA	3
marie-louise linssen-vaessen	NED	1
marilyn black	AUS	1
marilyn ramenofsky	USA	1
marina koshevaya	URS	2
marina yurchenya	URS	1
marinus van den berge, jacob boot, jan de vries, henricus broos	NED	1
mario lanzi	KIT	1
marion shields	USA	1
marise chamberlain	NZL	1
marita koch	GDR	1
mariya pinigina, olga nazarova, tatyana ledovskaya, olga bryzgina	URS	1
mariya savinova	RUS	1
marjorie jackson	AUS	2
mark crear	USA	2
mark de jonge	CAN	1
mark hunter, zac purchase	GBR	1
mark kerry	AUS	1
mark kerry, neil brooks, peter evans, mark tonelli	AUS	1
mark lewis-francis, jason gardener, marlon devonish, darren campbell	GBR	1
mark mccoy	CAN	1
mark oldershaw	CAN	1
mark richardson, roger black, jamie baulch, iwan thomas	GBR	1
mark rowland	GBR	1
mark spitz	USA	6
mark spitz, don schollander, john nelson, stephen rerych	USA	1
mark stockwell	AUS	1
mark tewksbury	CAN	1
mark tewksbury, thomas ponting, victor davis, sandy goss	CAN	1
markus gier, michael gier	SUI	1
markus rogan	AUT	2
markus ryffel	SUI	1
mark warnecke	GER	1
mark zabel, andreas ihle, bjorn bach, stefan ulm	GER	1
marleen veldhuis	NED	1
marleen veldhuis, inge de bruijn, inge dekker, chantal groot, annabel kosten	NED	1
marlene mathews	AUS	2
marlies g?hr-oelsner	GDR	1
marnie mcbean, diane o?grady, laryssa biesenthal, kathleen heddle	CAN	1
marnie mcbean, kathleen heddle	CAN	1
martha genenger	GER	1
martha langbein, annie biechl, jutta heine, brunhilde hendrix	GER	1
martha norelius	USA	2
