	ratings
410	0
411	0
412	100
413	100
414	100
415	100
416	100
417	50
418	50
419	82
420	100
421	50
422	50
423	80
424	100
425	50
426	81
427	50
428	100
429	50
430	50
431	85
432	100
433	59
434	18
435	16
436	31
437	66
438	82
439	30
440	60
441	27
442	55
443	73
444	28
445	100
446	99
447	100
448	100
449	31
450	91
451	88
452	32
453	82
454	31
455	33
456	83
457	27
458	27
459	65
460	36
461	15
462	86
463	33
464	100
465	0
466	0
467	0
468	0
469	0
470	20
471	0
472	20
473	31
474	31
475	10
476	10
477	100
478	98
479	100
480	49
481	0
482	0
483	0
484	0
485	0
486	0
487	35
488	50
489	0
490	30
491	25
492	50
493	0
494	0
495	100
496	100
497	20
498	10
499	15
500	7
501	70
502	50
503	59
504	75
505	80
506	91
507	90
508	94
509	100
510	100
511	100
512	100
513	0
514	0
515	0
516	0
517	0
518	0
519	0
520	0
521	16
522	56
523	46
524	75
525	64
526	69
527	90
528	100
529	0
530	1
531	0
532	0
533	0
534	0
535	0
536	0
537	0
538	0
539	0
540	0
541	0
542	0
543	0
544	0
545	0
546	0
547	0
548	0
549	0
550	0
551	0
552	0
553	0
554	0
555	0
556	0
557	0
558	0
559	100
560	100
561	13
562	65
563	25
564	16
565	83
566	39
567	34
568	77
569	32
570	84
571	97
572	31
573	97
574	99
575	94
576	94
577	0
578	0
579	0
580	0
581	0
582	1
583	0
584	0
585	50
586	50
587	50
588	0
589	100
590	100
591	100
592	100
593	0
594	20
595	20
596	0
597	40
598	10
599	40
600	10
601	90
602	90
603	100
604	100
605	70
606	80
607	70
608	80
609	0
610	0
611	0
612	0
613	0
614	0
615	0
616	0
617	0
618	0
619	0
620	0
621	100
622	100
623	100
624	100
625	45
626	81
627	74
628	45
629	30
630	39
631	46
632	31
633	26
634	35
635	41
636	46
637	35
638	37
639	25
640	62
641	0
642	0
643	0
644	0
645	0
646	0
647	0
648	0
649	0
650	0
651	0
652	0
653	100
654	0
655	0
656	100
657	8
658	51
659	51
660	8
661	59
662	24
663	59
664	24
665	68
666	68
667	70
668	70
669	100
670	100
671	99
672	100
673	15
674	50
675	60
676	0
677	40
678	40
679	40
680	90
681	50
682	80
683	40
684	90
685	80
686	100
687	95
688	100
689	0
690	30
691	10
692	0
693	50
694	50
695	50
696	50
697	18
698	50
699	50
700	16
701	100
702	100
703	100
704	98
705	15
706	40
707	70
708	20
709	70
710	20
711	70
712	30
713	20
714	35
715	70
716	85
717	100
718	100
719	100
720	100
721	0
722	0
723	0
724	0
725	0
726	0
727	0
728	10
729	0
730	10
731	0
732	0
733	100
734	45
735	100
736	75
737	0
738	0
739	0
740	0
741	0
742	0
743	0
744	0
745	0
746	0
747	0
748	0
749	0
750	100
751	100
752	0
753	34
754	25
755	37
756	19
757	35
758	20
759	45
760	32
761	60
762	67
763	75
764	63
765	100
766	99
767	100
768	100
769	0
770	55
771	67
772	0
773	65
774	5
775	81
776	8
777	7
778	81
779	70
780	0
781	100
782	100
783	100
784	100
785	10
786	0
787	40
788	45
789	41
790	40
791	40
792	70
793	20
794	60
795	20
796	90
797	60
798	30
799	70
800	100
801	5
802	12
803	12
804	10
805	51
806	77
807	12
808	80
809	44
810	63
811	68
812	34
813	100
814	100
815	100
816	100
817	0
818	0
819	0
820	0
821	0
822	0
823	0
824	22
825	0
826	0
827	0
828	0
829	0
830	0
831	100
832	100
833	0
834	0
835	0
836	0
837	0
838	0
839	0
840	0
841	0
842	0
843	0
844	0
845	37
846	30
847	73
848	100
849	0
850	22
851	0
852	0
853	50
854	50
855	89
856	93
857	0
858	0
859	79
860	100
861	100
862	100
863	100
864	100
865	0
866	0
867	0
868	0
869	0
870	0
871	15
872	10
873	0
874	0
875	10
876	50
877	50
878	85
879	60
880	100
881	47
882	55
883	50
884	47
885	44
886	44
887	47
888	47
889	51
890	48
891	47
892	47
893	42
894	47
895	50
896	46
897	0
898	0
899	0
900	0
901	50
902	50
903	75
904	100
905	100
906	100
907	100
908	99
909	100
910	100
911	100
912	100
913	6
914	5
915	8
916	42
917	10
918	20
919	50
920	85
921	78
922	80
923	35
924	86
925	100
926	100
927	100
928	100
929	0
930	0
931	0
932	0
933	0
934	25
935	0
936	0
937	0
938	0
939	0
940	0
941	0
942	0
943	100
944	100
945	0
946	6
947	9
948	12
949	21
950	17
951	54
952	62
953	36
954	30
955	48
956	93
957	38
958	42
959	72
960	100
